comparison,N,MAE,RMSE,ME,med_abs_err,p90_abs_err,ref_metal_frac,pred_metal_frac,metal_gap_accuracy,TN_FP_FN_TP
DFT_vs_SK,79902,0.6214061658536831,1.3277340484612672,0.48994144334719497,0.03984797000885005,1.987363169937134,0.5912868263622938,0.5922254762083552,0.8244474481239519,"40269,6976,7051,25606"
DFT_vs_ALIGNN,79902,0.4667137027535858,0.8293511866769673,0.18984322549100532,0.20666751265525818,1.2049660459709166,0.5912868263622938,0.28045605867187307,0.6378313433956597,"20358,26887,2051,30606"
SK_vs_ALIGNN,79902,0.8638851121699046,1.5320314110081836,-0.3000982178561898,0.31974589079618454,2.4138732433319094,0.5922254762083552,0.28045605867187307,0.6188455858426573,"19637,27683,2772,29810"
