id,formula,nsites,spg,e_form,e_above_hull,dft_bandgap_eV,dft_bandgap_dir_eV,dos_ef_dft,sk_bandgap_eV
agm2000125084,Ag2Pd,3,191,0.68056846,0.72060245,0.0058000000000000005,0.0058000000000000005,3.842542,0.0016739368438720703
agm2000125086,Ba2Pd,6,12,-0.24957216000000002,0.17425796000000002,0.1009,0.12810000000000002,4.20864,0.007057666778564453
agm2000125088,Cd2Pd,3,123,-0.07430146,0.21829642,0.0,0.0178,1.0021619,0.0067577362060546875
agm2000125090,Cs2Pd,6,129,0.18197726,0.20585877,0.7106,1.1425,-0.246503,0.004894256591796875
agm2000125092,In2Pd,3,123,-0.07702067500000001,0.32706463,0.0,0.041800000000000004,1.9289927,0.02848649024963379
agm2000125094,La2Pd,6,12,-0.17108388,0.40095308,0.0,0.0834,7.241472,0.0018401145935058594
agm2000125101,Sb2Pd,3,123,-0.17504923,0.17899479999999998,0.0,0.0019,0.2832522,0.018230199813842773
agm2000125102,Sn2Pd,3,187,-0.08513958,0.3039705,0.0,0.0154,2.1151464,0.019006729125976562
agm2000125105,Te2Pd,6,164,-0.23807676,0.09394449,0.2207,0.5363,0.5489577,2.9240503311157227
agm2000125134,AsP2,3,12,0.6437788600000001,0.6437788600000001,0.0,0.0,0.6911345,0.011776208877563477
agm2000125136,CsP2,6,65,0.17559747,0.636201,0.0,0.0,4.2158217,0.01045083999633789
agm2000125137,GeP2,3,164,0.61305535,0.6158707999999999,0.0,0.0034000000000000002,1.0988411,0.002157449722290039
agm2000125139,NiP2,6,59,0.14632878,0.5223597,0.0,0.3443,2.3807485,0.017164230346679688
agm2000125140,SbP2,3,5,0.38026363,0.38026363,0.0,0.0,0.6496200000000001,0.0038177967071533203
agm2000125141,P2Se,6,59,0.5686395,0.6220398500000001,0.0,0.0634,2.8452535,0.008378744125366211
agm2000125142,SnP2,3,123,0.40502676,0.43238863,0.0,0.0,1.6537145,0.011071443557739258
agm2000125143,TeP2,6,59,0.5258345,0.5258345,0.0,0.0528,2.7567773,0.04034543037414551
agm2000125146,As2P,3,115,0.24562679,0.24562679,0.0,0.0,1.7499856999999999,0.013192176818847656
agm2000125148,Ba2P,3,123,-0.50473857,0.32484946000000003,0.0,0.2013,2.721974,0.01468801498413086
agm2000125150,PBr2,6,2,-0.2911961,0.026496932,2.6556,2.8412,0.0,3.8519392013549805
agm2000125151,Cd2P,12,51,0.29329318,0.35564867,0.0,0.00030000000000000003,2.4234316,0.020210981369018555
agm2000125152,PCl2,9,189,-0.65518326,0.3609861,0.0,0.0,6.795535,0.00018215179443359375
agm2000125153,Co2P,6,129,0.008831663,0.5828186,0.0,0.0183,7.7904525,0.006547451019287109
agm2000125154,Cr2P,6,123,-0.010310044,0.41760617,0.0,0.001,4.7394066,0.0056841373443603516
agm2000125155,Cu2P,6,90,0.31694308,0.39989287,0.0,0.0,4.237325,0.01772904396057129
agm2000125156,Fe2P,6,129,-0.006289429,0.46062827,0.0,0.0028,6.6618457,0.0031414031982421875
agm2000125157,Ge2P,3,164,0.40576696,0.40858242,0.0,0.0,1.6033392,0.02664017677307129
agm2000125159,PI2,6,51,0.29776815,0.33814028,0.0,0.0,4.036414,0.007987022399902344
agm2000125160,K2P,6,164,0.058008466,0.35778119999999997,0.0,0.0425,4.653766,0.003807544708251953
agm2000125161,La2P,6,129,-0.6149205600000001,0.45137095,0.0,0.031200000000000002,6.4600234,0.000568389892578125
agm2000125162,Mn2P,6,123,-0.06798785,0.4301213,0.0,0.0158,4.919855,0.0009984970092773438
agm2000125163,Ni2P,6,90,0.28651118000000003,0.7916936,0.0,0.005200000000000001,7.326768,0.04338216781616211
agm2000125165,Rb2P,6,164,0.08934946,0.35127416,0.0,0.0025,6.6202736,0.0015430450439453125
agm2000125166,PS2,3,115,-0.34325796000000003,0.272719,0.0,0.0045000000000000005,2.8708255,0.09624588489532471
agm2000125167,Sb2P,3,123,1.0100067,1.0100067,0.0,0.0,4.9256105,0.009166717529296875
agm2000125168,PSe2,6,11,0.07100114,0.12440147,0.0,0.0,3.6379354,0.00327301025390625
agm2000125169,Sn2P,6,164,0.17188169,0.20836417000000002,0.0,0.002,2.3273032,0.003515005111694336
agm2000125170,Sr2P,6,11,-0.65103257,0.22253203,0.0,0.0855,3.922646,0.0011260509490966797
agm2000125171,Te2P,6,164,0.18245186,0.18245186,0.0,0.0,1.705806,0.0007283687591552734
agm2000125173,Zn2P,6,17,0.3818901,0.5315305,0.0,0.0431,1.5190513,0.011425495147705078
agm2000125220,Rb2Ba,6,53,0.47158304,0.47158304,0.0,0.0023,7.066525,0.025499582290649414
agm2000125223,Rb2I,3,123,-0.78485537,0.21460566,0.0,0.0,1.9014169,0.0012707710266113281
agm2000125225,Rb2Pd,6,12,0.23273729999999998,0.23273729999999998,0.0,0.07150000000000001,4.4664145,0.0709524154663086
agm2000125227,Rb2Sb,6,12,-0.25750798,0.12809354,0.0,0.06760000000000001,4.2079396,1.3239197731018066
agm2000125228,Rb2Sn,6,12,-0.042486199999999995,0.14971367,0.0,0.0253,5.8435364,0.46413636207580566
