jid,sk_gap,alignn_gap,dft_gap
cc-0,15.829794,3.341371774673462,8.828462153648347
cc-4,15.766266,4.798198699951172,7.563676920934824
cc-8,15.061323,4.259268760681152,9.264932789033994
cc-12,4.859433,4.408511161804199,6.160113618366763
cc-16,5.807926,3.9129860401153564,6.955230324474532
cc-20,6.923227,4.537420272827148,8.205049294752762
cc-24,6.386227,4.389926433563232,7.776469961378449
cc-28,5.576478,3.2818446159362793,5.398739031204019
cc-32,15.674402,5.113115310668945,9.246156932524263
cc-36,10.111527,4.810431003570557,7.240677766194946
cc-40,5.672363,3.2715048789978027,7.466804385899106
cc-44,15.078966,4.98347806930542,9.227381076014531
cc-48,6.525842,4.290013313293457,7.4749678017729035
cc-52,9.133884,4.2105913162231445,7.488573494895897
cc-56,9.538241,2.8596487045288086,9.098399105208546
cc-60,10.813309,3.8206214904785156,7.18761556301527
cc-64,16.496145,5.793730735778809,11.444020599612713
cc-68,7.106467,5.451602935791016,7.680957995655033
cc-72,10.491813,3.7119345664978027,7.158771493594522
cc-76,6.662689,4.83394193649292,7.741367273121125
cc-80,5.032707,3.7601680755615234,7.11795441422554
cc-84,5.506126,4.681799411773682,6.587604496291235
cc-88,15.948725,5.611824035644531,10.983331830468137
cc-92,10.177598,4.535555839538574,7.950894947215233
cc-96,7.63078,5.878029823303223,7.885315506362402
cc-100,23.424242,7.344473838806152,13.771138351369606
cc-104,10.984712,4.1756134033203125,6.219162326520556
cc-108,14.062349,4.526793003082275,8.852136059682355
cc-112,12.875922,5.449612617492676,7.9019144519724565
cc-116,12.557064,5.003288269042969,8.5228782861059
cc-120,4.39245,4.272919654846191,6.076846776454039
cc-124,12.072565,5.1473236083984375,9.154182447012822
cc-128,5.307025,2.123501777648926,5.924735127338966
cc-132,4.955163,3.646571636199951,6.179161588738955
cc-136,5.142672,3.887240409851074,6.359028851824935
cc-140,6.35146,3.911543130874634,6.307871445682478
cc-144,6.650516,4.34431791305542,7.793885248575883
cc-148,5.748833,3.1960277557373047,5.777793641610632
cc-152,3.958045,3.1255431175231934,4.947302133383078
cc-156,4.043107,2.628737211227417,4.828932603213031
cc-160,4.969082,3.716508626937866,6.247734282078844
cc-164,5.127232,4.163218975067139,6.223788262182375
cc-168,6.981719,5.226973056793213,8.93377021842032
cc-172,4.138352,2.7382688522338867,5.246899495951406
cc-176,5.127265,2.9444656372070312,5.964735865120569
cc-180,2.062196,2.271484375,3.8259209061859125
cc-184,15.905045,5.663761138916016,11.220343004670692
cc-188,4.75259,4.04378604888916,5.620511829108821
cc-192,8.97109,4.582418441772461,8.18137538871875
cc-196,12.852911,4.752689361572266,8.014841704893305
cc-200,5.0274,4.026702404022217,6.151678088630507
cc-204,6.663388,4.524639129638672,7.86653964985267
cc-208,5.646907,3.819176435470581,7.36693859837633
cc-212,5.504186,2.790750503540039,6.2398429800675075
cc-216,4.917091,3.461665153503418,6.05235652883265
cc-220,6.570864,5.202820301055908,7.497281138494613
cc-224,7.274295,4.181938171386719,9.63609609742927
cc-228,15.328832,5.266383171081543,9.875012068669045
cc-232,5.746564,4.057069778442383,6.39358731235734
cc-236,5.658483,3.9310812950134277,6.642299382645671
cc-240,9.877635,5.286014556884766,8.36750127064131
cc-244,10.310736,4.867570877075195,7.119314983537841
cc-248,6.135621,4.488953590393066,7.2833996426011485
cc-252,13.272652,4.782892227172852,8.11878920035298
cc-256,14.944001,5.608913898468018,10.532439160372114
cc-260,15.373041,4.756340980529785,9.366431259731527
cc-264,4.018634,2.783808946609497,5.586225482438876
cc-268,5.050593,3.6380813121795654,6.3769883667472875
cc-272,4.682746,3.4178781509399414,5.605273452811068
cc-276,14.770222,5.729331016540527,10.358286288397792
cc-280,9.211741,3.514371871948242,5.9690896869199275
cc-284,13.928619,4.623754024505615,8.514170642507185
cc-288,6.639529,4.582866668701172,7.7049040155515005
cc-292,15.076814,5.596848487854004,10.652985601441841
cc-296,3.878628,2.927311897277832,5.767453314837157
cc-300,9.41246,4.554444313049316,8.81839394073733
cc-304,5.927392,3.330659866333008,5.6621452500651825
cc-308,11.227226,4.350253105163574,10.065219658528502
cc-312,1.954738,1.820090889930725,2.7837248129645724
cc-316,12.083515,3.6882131099700928,9.145202689551647
cc-320,10.739656,4.378291130065918,6.834683883404805
cc-324,14.843719,5.4268999099731445,10.759382121663654
cc-328,5.759484,3.9478917121887207,7.030605864375919
cc-332,2.927578,3.3736162185668945,5.411256268877174
cc-336,14.875298,5.656545639038086,10.261685867224534
cc-340,3.173962,2.8389840126037598,4.783761702044691
cc-344,9.970127,3.804265022277832,6.8469290072155005
cc-348,10.083178,3.6181230545043945,5.407174560940276
cc-352,5.808562,4.445982456207275,7.5979632676047695
cc-356,9.635951,4.62723445892334,7.493199430557715
cc-360,5.804404,3.2941856384277344,6.522025055438403
cc-364,8.089789,3.470561981201172,8.520973489068682
cc-368,2.720844,2.8059024810791016,4.28660967533049
cc-372,5.957039,2.0582356452941895,7.493743658282634
cc-376,6.290009,2.6894850730895996,6.904617146056994
cc-380,7.457002,4.840287685394287,8.844516871533479
cc-384,5.870849,4.188409805297852,1.174171316514382
cc-392,13.206041,4.802299976348877,8.97431518392684
cc-396,5.586421,2.2189693450927734,6.072492954654683
cc-400,7.414985,3.3600733280181885,7.704631901689041
cc-404,7.523443,1.0555552244186401,7.943819986791276
cc-408,10.052252,3.4077558517456055,7.121764008299979
cc-412,5.023496,2.622190475463867,5.510849942537489
cc-416,6.346368,4.129606246948242,7.86926078847727
cc-420,10.246483,4.3107075691223145,7.062443186283725
cc-424,5.618183,2.95082426071167,6.196848989798847
cc-428,2.293502,2.292583703994751,5.323907719027551
cc-432,6.464974,3.5656192302703857,6.813731115995395
cc-436,9.315583,3.84563946723938,5.03546702482008
cc-440,6.431108,4.233506202697754,7.347074286416761
cc-444,15.039672,5.287006855010986,10.460601100682705
cc-448,6.2787,4.603076934814453,6.965298537385549
cc-452,5.967227,4.4506025314331055,6.737811348369088
cc-456,12.341877,4.060737609863281,7.760687357355778
cc-460,11.465878,5.91009521484375,8.853768742857115
cc-464,9.662119,3.93237042427063,7.646399535122627
cc-468,11.304403,5.033736228942871,10.18195650552379
cc-472,14.149112,4.681819915771484,9.967258668042945
