threshold_eV_per_atom,count_within,fraction
0.005,9300,0.19071446148798293
0.01,16735,0.3431834960216553
0.02,28297,0.580284636207038
0.05,41328,0.8475104585349849
0.1,46750,0.9586990402756131
0.2,48302,0.9905257977196292
0.3,48572,0.9960626691821836
0.5,48720,0.999097695020917
1.0,48756,0.9998359445492576
