metric,value
N,87903
MAE,0.4704278351975049
RMSE,0.8373656261000771
ME,0.1897526953123742
med_abs_err,0.20558698353767402
p90_abs_err,1.219204365386963
ref_mean,0.6735256703411716
ref_std,1.2545976381815187
pred_mean,0.8632783656535458
pred_std,1.2538638261596367
dataset,v10_2d
reference,band_gap_ind
confusion_TN_FP_FN_TP,"22564,29316,2277,33746"
accuracy_metal_vs_gap,0.6405924712467151
