subset,N,MAE,RMSE,ME,med_abs_err,p90_abs_err,ref_mean,pred_mean,confusion_TN_FP_FN_TP,accuracy
all,87903,0.4704278351975049,0.8373656261000771,0.1897526953123742,0.20558698353767402,1.219204365386963,0.6735256703411716,0.8632783656535458,"22564,29316,2277,33746",0.6405924712467151
metals,51880,0.362967060912075,0.7994651060192445,0.35933268005184865,0.0744277872145176,1.0234635233879088,0.0012947686969930609,0.3606274487488417,,
nonmetals,36023,0.6251918740040482,0.889115256870152,-0.05447487063948806,0.4495668863296509,1.3707348323822022,1.6416665574771676,1.5871916868376794,,
