dataset,N_sk_matched,N_sk_inf_dropped,N_sk_total,N_alignn_total,MAE_alignn_vs_sk,RMSE_alignn_vs_sk,ME_alignn_minus_sk,med_abs_err,p90_abs_err,pearson_sk_vs_alignn,sk_metal_frac,alignn_metal_frac,metal_gap_agreement,TN_FP_FN_TP_sk_ref_alignn_pred,ood_note
v08_supercon,4827,0,4827,4827,0.03865815694508516,0.1757816202205888,0.00814710609053007,0.008016318082809448,0.03779545724391942,0.19167463328038187,0.9726538222498446,0.9351564118500103,0.9243836751605552,"4422,273,92,40","Alexandria supercon candidates; no DFT bandgap reference; clean baseline (both methods agree 92.4%, both predict mostly metallic)"
v07_vacancy,444,0,444,470,0.6337829251094041,1.352128473400501,0.560813470072373,0.028482452034950256,1.9492913246154777,0.3962262433575498,0.9121621621621622,0.5427927927927928,0.6126126126126126,"237,168,4,35",JARVIS vacancies (TM-defect supercells); no DFT bandgap reference; cleanest in-the-wild illustration of SK transition-metal failure mode (SK 91% metal vs ALIGNN 54%)
v10_2d,79903,0,79903,87903,0.8639112755205821,1.5320574758384784,-0.3000574870508482,0.3197638690471649,2.414001750946045,0.7579522780176834,0.5922305795777381,0.2804525487153173,0.6188378408820695,"19,637,27,684,2,772,29,810",Alexandria 2D; OOD for ALIGNN's 3D bulk training distribution
v05_interface,433,0,433,433,0.8825583490897959,1.0905399134284768,-0.4854992892825438,0.7642912864685059,1.7757378101348882,0.3993417357543891,0.1685912240184757,0.0254041570438799,0.815242494226328,"2,71,9,351",JARVIS interfaces (slabs with vacuum); OOD for ALIGNN
v06_surface,466,0,466,487,1.0656592068242412,1.5270421452976892,-0.7229177875068566,0.8149608969688416,2.6149449720978737,0.7059199519355635,0.3283261802575107,0.2081545064377682,0.8197424892703863,"83,70,14,299",JARVIS surfaces (slabs); OOD for ALIGNN
v09_1d,8636,0,8636,9540,1.1642232055572217,1.8934124806423007,-0.9397059623400054,0.458875423297286,3.090341329574585,0.8573987857364921,0.3207503473830477,0.3059286706808707,0.7135247799907365,"1,469,1,301,1,173,4,693",Alexandria 1D; OOD for ALIGNN's 3D bulk training distribution
v04_cccbdb,1324,0,1324,1333,3.9280448634728926,5.291344339246057,-3.632283440124232,2.5423614978790283,9.451818990707398,0.6148379659363703,0.0,0.0030211480362537,0.9969788519637462,"0,0,4,1,320","molecules; both SK and ALIGNN are out-of-distribution; ALIGNN trained on crystals, SK trained on solid-state DFT"
