dataset,title,N,has_dft,DFT_vs_SK_MAE,DFT_vs_SK_acc,DFT_vs_ALIGNN_MAE,DFT_vs_ALIGNN_acc,SK_vs_ALIGNN_MAE,SK_vs_ALIGNN_acc
v04,v04 CCCBDB molecules,1321,True,2.7055593486026743,0.9984859954579863,3.275664446151823,0.9954579863739591,3.9338675841891697,0.9969719909159728
v05,v05 JARVIS interface_db,587,True,1.0521544991482112,0.8517887563884157,0.5308635999777654,0.7717206132879046,0.8836857081933127,0.8449744463373083
v06,v06 JARVIS surface_db,466,True,0.9731753218884119,0.8304721030042919,0.4926756629913661,0.8047210300429185,1.065659553219218,0.8197424892703863
v07,v07 JARVIS vacancy_db,444,False,,,,,0.6337829124775669,0.6126126126126126
v08,v08 Alexandria supercon,4827,False,,,,,0.03865815683096905,0.9243836751605552
v09,v09 Alexandria 1D,8636,True,0.9886618526941761,0.7317044928207503,0.4895354595396369,0.7333256137100509,1.1642232055572215,0.7135247799907365
v10,v10 Alexandria 2D,79902,True,0.6214061658536831,0.8244474481239519,0.4667137027535858,0.6378313433956597,0.8638851121699046,0.6188455858426573
