id,formula,e_form,dft_bandgap_eV,dft_bandgap_dir_eV,sk_bandgap_eV
agm005626361,SrCdAg2,-0.2743962,0.0,0.007500000000000001,0.005865573883056641
agm003194234,Sr(CdAs)2,-0.634289,0.1527,0.1527,1.3434162139892578
agm002922096,Sr(CdGa)2,-0.35018525,0.0,0.0077,0.005621433258056641
agm005020606,SrCdInGa2,-0.35871795,0.0,0.0,0.0023479461669921875
agm002243940,SrCdPd,-0.57233775,0.0,0.1282,0.0012938976287841797
agm002189433,SrCdSn,-0.5420465999999999,0.0,0.0,0.21764469146728516
agm005775431,Sr(Cl3F)2,-1.7272811,1.4588,1.5024000000000002,4.363780975341797
agm003223374,Sr(ClO3)2,-1.3622565,5.2291,5.3676,6.765862464904785
agm005007699,SrCo2GeN,-0.5067497,0.0,0.0541,0.002071857452392578
agm003225894,SrCO3,-2.7020507,4.429,4.4392,7.221896171569824
agm005950772,Sr(CoC)2,-0.021606928,0.0,0.0597,0.0016565322875976562
agm002332784,Sr(CoGe)2,-0.43003264,0.0,0.056900000000000006,0.02285480499267578
agm002223974,SrCoN,-0.58326095,0.0,0.0025,0.003730297088623047
agm003128076,SrCoO3,-2.088828,1.1887,1.3056,0.0004620552062988281
agm005203872,SrCoPH,-0.77878815,0.0,0.0178,0.013463497161865234
agm005023106,SrCoTcP2,-0.8344349999999999,0.0,0.06810000000000001,0.0021457672119140625
agm006038746,Sr(Cr3S4)2,-1.2019902,0.0,0.0028,0.006318807601928711
agm005221544,SrCrF4,-3.5627356,3.6119,3.6653000000000002,6.031990051269531e-05
agm005228982,SrCrN2,-1.0100535,0.016900000000000002,0.038900000000000004,0.0037157535552978516
agm005022917,SrCrP2Rh,-0.8496201999999999,0.0,0.0,0.0011570453643798828
agm005539400,SrCu,-0.11379771,0.0,0.016,0.008309602737426758
agm002266903,SrCu2Pd3,-0.37991604,0.0,0.0264,0.0037889480590820312
agm003200965,SrCu5,-0.06505713,0.0,0.0,0.0012726783752441406
agm003237539,SrCu9Sn4,-0.14560191,0.0,0.037,0.001901865005493164
agm002148357,SrCuF6,-2.5134254,0.0,0.0,0.0015169382095336914
agm005096938,SrCuHF6,-2.6035345,1.244,1.2922,3.3512139320373535
agm003204628,Sr(CuO)2,-1.6641794,1.7798,1.7798,0.0008945465087890625
agm002177712,Sr(CuP)2,-0.5469526,0.0,0.0548,0.0028142929077148438
agm002268840,SrCuSb,-0.71034807,0.0,0.47050000000000003,0.16382932662963867
agm002186068,Sr(CuSi)2,-0.35513353000000003,0.0,0.02,0.0012216567993164062
agm003245696,SrFe2(SeO3)4,-1.7109926999999998,2.3675,2.4449,0.0010833740234375
agm005278286,SrFe3(PO4)3,-2.6361208,1.4178,1.4178,0.0005350112915039062
agm005877558,Sr(FeC)2,-0.056816068000000004,0.0,0.0002,0.0018787384033203125
agm005766968,SrFeF5,-3.4287584,3.5195,3.5456,4.4345855712890625e-05
agm003128228,SrFeO3,-2.3220458,0.0,0.0,0.0010280609130859375
agm003284965,SrGa2,-0.5060896,0.0,0.0926,0.017520904541015625
agm002255301,SrGa2BRu2,-0.46389794,0.0,0.0,0.0021605491638183594
agm003662129,Sr(Ga2Pd3)2,-0.7212687999999999,0.0,0.0,0.012880325317382812
agm003719474,SrGa3Ag,-0.38389203,0.0,0.199,0.0009946823120117188
agm003206442,SrGa3Pd,-0.61681813,0.0,0.0,0.001680135726928711
agm002151259,SrGa4,-0.41910413,0.0,0.059300000000000005,0.0229339599609375
agm002151305,SrGa6Pd,-0.44264233000000003,0.0,0.0,0.014167308807373047
agm003283958,SrGaBO4,-2.9048,3.8405,3.8405,7.316443920135498
agm002266675,SrGaCu2,-0.26100984,0.0,0.0,0.00063323974609375
agm002339895,Sr(GaH)2,-0.4694661,0.0,0.35860000000000003,0.3906846046447754
agm003523735,Sr(GaI4)2,-0.8220316,2.3424,2.3614,3.8325915336608887
agm003277207,Sr(GaO2)2,-2.6422257,3.0478,3.0478,7.134076118469238
agm003604603,SrGaRu,-0.28712899999999997,0.0,0.0,0.003145456314086914
agm003188591,SrGaSiH,-0.45165977,0.7182000000000001,1.3677000000000001,0.920459508895874
agm001418239,SrGe,-0.6291576999999999,0.0,0.08750000000000001,0.002725362777709961
agm005669424,SrGe2Pd3,-0.67652786,0.0,0.016,0.00014519691467285156
agm005015893,SrGe2PdRu,-0.6101194600000001,0.0,0.13770000000000002,0.0007736682891845703
agm002214533,SrGe3Pd,-0.5550735,0.0,0.002,0.06046247482299805
agm005007455,SrGeHPd2,-0.6820765999999999,0.0,0.0886,0.001453399658203125
agm002339763,SrGePd,-0.7518214,0.0,0.0034000000000000002,0.024663925170898438
agm002215281,SrGeRh,-0.70220655,0.0,0.025900000000000003,0.007927179336547852
agm002923291,Sr(GeRu)2,-0.501992,0.0,0.0,0.0023779869079589844
agm005784236,SrH2F6,-2.3699198,2.4344,2.4544,5.948111534118652
agm002216034,SrH4Rh,-0.5583667,0.0,0.0,0.041296958923339844
agm004575823,SrH6(NCl)2,-1.2129394,4.8215,4.8317,6.4256696701049805
agm003201525,SrHCl,-1.8063742999999999,4.0016,4.0091,4.71893835067749
agm005816061,SrHF14,-1.2062358,0.0,0.0016,0.041172027587890625
agm003201754,SrHN,-0.8624018,1.1594,1.1594,3.014235496520996
agm002189491,SrIn,-0.4392753,0.0,0.0009000000000000001,0.004108905792236328
agm003237593,SrIn2O4,-2.3636532,1.8125,1.8623,3.06109619140625
agm003712457,SrIn3Ag,-0.31494632,0.0,0.0363,0.0036902427673339844
agm002243949,SrIn4Pd,-0.4517005,0.0,0.0324,0.027602672576904297
agm002189387,SrInAg,-0.3815136,0.0,0.029300000000000003,0.0027709007263183594
agm005855965,Sr(InI4)2,-0.82468617,2.2412,2.2412,5.4054951667785645
agm002383401,SrInPd2,-0.64387035,0.0,0.0,0.010688543319702148
agm003272473,Sr(InSe2)2,-1.0038574,1.5708,1.5708,3.1627144813537598
agm003436912,SrLa2Cd3,-0.33570966,0.0,0.0007,0.004218101501464844
agm004745869,SrLa(AsPd)2,-1.1339403,0.0,0.0,0.003299713134765625
agm005589993,SrLaCu10,-0.11345956500000001,0.0,0.0,0.0014755725860595703
agm003204858,SrLa(FeO3)2,-2.632018,0.0,0.0046,0.002643585205078125
agm005945763,Sr(LaH4)2,-0.6781844,1.569,2.2768,1.9339203834533691
agm003275269,SrLaMnNbO6,-3.210582,2.0116,2.2747,0.0014905929565429688
agm004744741,SrLa(NiSb)2,-0.7768585,0.0,0.0,0.054467201232910156
agm003216071,Sr(LaS2)2,-2.568838,2.241,2.241,3.462305784225464
agm004752515,SrLa(ZnSi)2,-0.5410301,0.0,0.0,0.015238285064697266
agm004555191,SrLi2(AlGe)2,-0.41109654,0.0,0.38220000000000004,0.21673154830932617
agm005913869,SrLi2Cd9,-0.22722979000000001,0.0,0.0799,0.0013446807861328125
agm004546245,SrLi2(GaGe)2,-0.43950137,0.0,0.14980000000000002,1.2029399871826172
agm004851546,SrLi2GeSe4,-1.1353561,1.5575999999999999,1.5575999999999999,4.240226745605469
agm003258436,Sr(Li2P)2,-0.8287108999999999,1.1585,1.7401,2.109342575073242
agm002156798,SrLi2Si,-0.30561003000000003,0.0,0.11370000000000001,0.7031688690185547
agm002283440,SrLi2Sn,-0.4788204,0.0,0.00030000000000000003,0.45275354385375977
agm004546272,SrLi2(ZnGe)2,-0.44079727,0.0,0.11470000000000001,0.0057566165924072266
agm003218709,SrLi3MnN3,-0.7534156999999999,0.2529,0.2529,0.0028176307678222656
agm004992805,SrLiAlAs2,-0.84333444,0.8503000000000001,0.8503000000000001,1.9330031871795654
agm002157271,SrLiAs,-1.0297085,1.1022,1.1022,1.97664213180542
agm002386066,SrLi(AsRh)2,-0.8124716,0.0,0.0,0.004068613052368164
agm005016111,SrLiCdGe2,-0.44408563,0.0,0.0,0.0015926361083984375
agm005071128,SrLiCuF6,-2.917212,1.0493,1.0847,0.0022509098052978516
agm003239444,SrLiGaN2,-0.7380143,1.8416000000000001,1.8416000000000001,3.8755943775177
agm001105251,SrLiH3,-0.59521747,1.8397000000000001,2.8595,0.03606462478637695
agm003223530,SrLiNiF6,-2.9488635,2.3224,2.3224,0.0004534721374511719
agm005778795,SrLiPd2,-0.5574728999999999,0.0,0.0,0.00666499137878418
agm003628121,SrLiSi2,-0.41395533,0.0,0.0,0.023600101470947266
agm005020851,SrLiZnSn2,-0.45001945,0.0,0.0,0.008708477020263672
agm005914218,SrMg2Cd9,-0.16619976,0.0,0.0,0.0042266845703125
agm003211981,SrMg2FeH8,-0.47255817,1.7445,1.8456000000000001,2.9628047943115234
agm002153724,SrMg2MnH8,-0.38948858000000003,0.0,0.2134,0.007135868072509766
agm002286643,SrMg2Zn,-0.15546866,0.0,0.034300000000000004,0.014911413192749023
agm003748811,SrMg4Pd,-0.3336965,0.0,0.0071,0.0012972354888916016
agm005016366,SrMgAgGe2,-0.43217316,0.0,0.0,0.0019016265869140625
agm003194199,Sr(MgAs)2,-0.9691782999999999,1.4042,1.4873,2.5377120971679688
agm003465139,Sr(MgCd2)2,-0.23352374,0.0,0.0,0.00240325927734375
agm002159694,Sr(MgGa)2,-0.3435438,0.0,0.0,0.03070068359375
agm002160669,SrMgGe,-0.5491551,0.0,0.0,1.099433183670044
agm003237613,SrMgNiH4,-0.5079177,1.8895,1.9584000000000001,2.3383469581604004
agm002287400,SrMgPd,-0.5627188,0.0,0.0752,0.0014543533325195312
agm003240946,SrMgSi2,-0.35487983,0.0,0.021500000000000002,0.005855560302734375
agm002931599,Sr(MgZn)2,-0.18110311,0.0,0.0009000000000000001,0.0054051876068115234
agm002162777,Sr(MnAs)2,-0.5546800000000001,0.0,0.019,0.005054950714111328
agm004999622,SrMnClO2,-2.5477588,2.4791,2.8265000000000002,5.7697296142578125e-05
agm002270006,SrMnF6,-3.2219189999999998,2.9732000000000003,2.9732000000000003,0.0003619194030761719
agm004999603,SrMnIO2,-2.221768,1.79,1.79,0.0010218620300292969
agm002177840,Sr(MnP)2,-0.7657027,0.0,0.0118,0.0021200180053710938
agm005220134,SrMn(SeO3)2,-2.001337,3.351,3.351,0.0003352165222167969
agm003241562,SrMo2Se2O11,-1.9832323,2.7963,2.8477,2.7995729446411133
agm002304487,SrMoO4,-2.7265468,3.8069,3.8069,5.998741149902344
agm005738237,SrNb2F11,-3.5553248,0.0,0.005200000000000001,0.008715152740478516
agm002210730,SrNbF6,-3.6672401,0.0,0.0,0.008455514907836914
agm003223910,Sr(Ni2B)6,-0.3467324,0.0,0.0027,0.0010671615600585938
agm003216070,Sr(Ni2Sn)2,-0.3186931,0.0,0.0001,0.004831790924072266
agm003222523,SrNi5As3,-0.52138335,0.0,0.0,0.0014734268188476562
agm003160590,SrNiAs,-0.7936143999999999,0.0,0.0,0.03921794891357422
agm002139550,SrNiC2,-0.09015988,0.0,0.3687,0.007862091064453125
agm002348296,Sr(NiGe)2,-0.5153101999999999,0.0,0.0443,0.0009851455688476562
agm003068441,SrNiH3,-0.4865332,0.0,0.0538,0.004342555999755859
agm005093580,SrNiIO6,-1.496508,0.5785,0.6980000000000001,0.00018024444580078125
agm003215421,Sr(NiP2)2,-0.64552486,0.0,0.0585,0.006400585174560547
agm003603543,SrNiSn,-0.4651411,0.0,0.1126,0.011744022369384766
agm003272187,Sr(NO3)2,-1.6533886999999998,3.7189,3.7189,5.685377597808838
