subset,N,MAE,RMSE,ME,med_abs_err,p90_abs_err,ref_metal_frac,pred_metal_frac,metal_gap_accuracy,TN_FP_FN_TP
FULL,4444402,0.18510455681283358,0.5509859129535671,0.14770985333999184,0.013890950009226799,0.5102334691810605,0.9189171006583113,0.7089801957608696,0.7809946084985112,"3,130,841,953,196,20,152,340,213"
0_hull,114389,0.1678171651444968,0.4765049634992208,0.02432866428986749,0.015309110283851624,0.46638438486099226,0.6986423519744032,0.6196924529456503,0.8914143842502339,"69,191,10,726,1,695,32,777"
1_near_hull,1325979,0.18598122887139204,0.5526155915276768,0.12115730119543748,0.010958537459373474,0.5430332200694084,0.850319650612868,0.7141923062129943,0.8535180421409388,"940,139,187,367,6,865,191,608"
2_off_hull,1847839,0.20526459754032023,0.6244077669336127,0.1782777856041994,0.011398106813430786,0.5856184005737304,0.9403817107442802,0.7478535738232606,0.7981355518527318,"1,373,287,364,387,8,626,101,539"
3_far_off_hull,1156195,0.15358956946915597,0.41372654525102737,0.1415144970092494,0.025442421436309814,0.4007116317749023,0.9850760468606075,0.6497087429023651,0.6595020736121502,"748,224,390,716,2,966,14,289"
