subset,N,MAE,RMSE,ME,med_abs_err,p90_abs_err,dft_mean,alignn_mean
all,4489295,0.18508458137512207,0.5509058833122253,0.1476934403181076,0.01389119029045105,0.5102541446685791,0.12770316004753113,0.2753966450691223
DFT metals (gap <= 0.05),4125274,0.15344175696372986,0.5133042931556702,0.1487707644701004,0.011937841773033142,0.332836776971817,0.00015079477452673018,0.14892154932022095
DFT non-metals (gap > 0.05),364021,0.5436782836914062,0.8700475692749023,0.13548491895198822,0.3200307786464691,1.2940932512283325,1.5731927156448364,1.708677887916565
