mat_id,formula,pbe_ind,pbe_dir,sk,alignn,alignn_raw,e_form,abs_err,signed_err
agm003207239,CF4,9.0617,9.1085,30.548927307128906,8.903946876525879,8.903946876525879,-2.195947,21.487227307128904,21.487227307128904
agm003247543,BNF8,2.9943,2.9943,19.640769958496094,2.9918017387390137,2.9918017387390137,-1.8049428,16.646469958496095,16.646469958496095
agm002077692,HF,7.8376,7.8376,22.224224090576172,7.742189407348633,7.742189407348633,-1.8795894,14.386624090576172,14.386624090576172
agm005546836,SeF6,3.8672,3.8672,17.946941375732422,4.30464506149292,4.30464506149292,-1.9934279,14.079741375732421,14.079741375732421
agm003212188,AsF5,4.5543,4.5543,17.99044418334961,4.62072229385376,4.62072229385376,-2.408937,13.43614418334961,13.43614418334961
agm003194433,GeF4,5.4539,5.8391,18.483383178710938,5.579192161560059,5.579192161560059,-2.7092419,13.029483178710937,13.029483178710937
agm003206386,POF3,5.7767,5.8808,18.78048324584961,6.2087860107421875,6.2087860107421875,-2.8544338,13.00378324584961,13.00378324584961
agm003194693,H4C,7.6966,7.6966,20.551883697509766,7.213170051574707,7.213170051574707,-0.37569734,12.855283697509766,12.855283697509766
agm003212189,PF5,7.0654,7.0654,19.792156219482422,7.072096347808838,7.072096347808838,-2.9395375,12.726756219482422,12.726756219482422
agm005848556,PSF3,4.5526,4.5526,17.105920791625977,4.051088333129883,4.051088333129883,-2.3482733,12.553320791625977,12.553320791625977
agm003194853,SiF4,7.7097,8.2383,19.11605453491211,7.624029636383057,7.624029636383057,-3.4920533,11.40635453491211,11.40635453491211
agm003228721,AsH3OF6,4.8628,4.9105,16.2471923828125,4.92190408706665,4.92190408706665,-2.1128886,11.3843923828125,11.3843923828125
agm002153782,HCl,5.9533000000000005,5.9716000000000005,17.16982650756836,4.545620918273926,4.545620918273926,-0.87928087,11.216526507568359,11.216526507568359
agm003210753,H2O,5.5097000000000005,5.7077,16.63172149658203,5.658064365386963,5.658064365386963,-1.3825884,11.12202149658203,11.12202149658203
agm003267885,BeF2,8.3463,8.4947,19.20964241027832,8.352242469787598,8.352242469787598,-3.573984,10.863342410278321,10.863342410278321
agm003236362,H4OF2,7.0621,7.3197,17.853483200073242,7.076239585876465,7.076239585876465,-1.7136654999999998,10.791383200073241,10.791383200073241
agm003228474,H6OF4,7.405,7.4406,18.155773162841797,7.379434585571289,7.379434585571289,-1.7786455,10.750773162841796,10.750773162841796
agm003225900,H3OF,6.7228,6.7228,17.426143646240234,6.71329402923584,6.71329402923584,-1.6362334,10.703343646240235,10.703343646240235
agm005543544,H3Cl,6.0011,6.0011,16.702770233154297,5.688293933868408,5.688293933868408,-0.49959832,10.701670233154296,10.701670233154296
agm002153327,H3ClO,5.4173,5.4173,15.987741470336914,5.257850646972656,5.257850646972656,-1.2318156,10.570441470336913,10.570441470336913
agm003222848,BH3OF4,7.6499,7.696,18.216842651367188,7.621047019958496,7.621047019958496,-2.3506513,10.566942651367189,10.566942651367189
agm003211642,H4NF,5.9499,6.1893,16.492368698120117,5.971405982971191,5.971405982971191,-1.1758373,10.542468698120118,10.542468698120118
agm005225774,CaAs2HF13,4.8809000000000005,4.8849,15.421076774597168,4.86917781829834,4.86917781829834,-2.7323928,10.540176774597168,10.540176774597168
agm002153478,PH4Cl,4.5702,4.6918,15.056486129760742,5.342369556427002,5.342369556427002,-0.41261864,10.486286129760742,10.486286129760742
agm005868189,PH3F2,6.3773,6.4853,16.8026180267334,5.814104080200195,5.814104080200195,-1.293072,10.425318026733398,10.425318026733398
agm003211629,PH4Br,4.1693999999999996,4.3205,14.587950706481934,4.052166938781738,4.052166938781738,-0.2569238,10.418550706481934,10.418550706481934
agm003211258,H4BrN,4.2667,4.291,14.645808219909668,4.241314888000488,4.241314888000488,-0.7053043999999999,10.379108219909668,10.379108219909668
