mat_id,formula,pbe_ind,pbe_dir,sk,alignn,alignn_raw,e_form,abs_err,signed_err
agm003770263,BaAlF6,0.0,0.0344,0.0019617080688476562,7.200869560241699,7.200869560241699,-3.5684803,7.200869560241699,7.200869560241699
agm002157662,LiLaF4,6.5864,6.6054,8.256993293762207,0.27473363280296326,0.27473363280296326,-4.070106,6.311666367197037,-6.311666367197037
agm005531221,Ba2F5,0.0,0.0004,0.00110626220703125,5.951299667358398,5.951299667358398,-3.631156,5.951299667358398,5.951299667358398
agm003231829,LaF3,6.0703,6.0703,8.899192810058594,0.173810213804245,0.173810213804245,-4.51514,5.896489786195755,-5.896489786195755
agm003223236,LaZrF7,5.9978,6.0016,8.084630966186523,0.17424467206001282,0.17424467206001282,-4.272174,5.823555327939987,-5.823555327939987
agm002270739,Cs3LaF6,5.8260000000000005,5.8260000000000005,7.129057884216309,0.4055041968822479,0.4055041968822479,-3.5811197999999997,5.420495803117753,-5.420495803117753
agm005286192,Cs4Sr3(PO3)12,0.0,0.0,0.000732421875,5.403934478759766,5.403934478759766,-2.774514,5.403934478759766,5.403934478759766
agm005219140,Li14Be6(BO3)9,0.0078000000000000005,0.0078000000000000005,0.0043773651123046875,5.395956993103027,5.395956993103027,-2.7466812,5.388156993103028,5.388156993103028
agm002363177,Cs2RbZnF6,0.0,0.0,0.0002269744873046875,5.318754196166992,5.318754196166992,-2.6777337,5.318754196166992,5.318754196166992
agm002148812,Rb2NaZnF6,0.0,0.0001,0.01299285888671875,5.267125129699707,5.267125129699707,-2.6915925,5.267125129699707,5.267125129699707
agm002149478,Cs2KZnF6,0.0,0.0,0.0006732940673828125,5.253462791442871,5.253462791442871,-2.6954126,5.253462791442871,5.253462791442871
agm002210446,K2NaZnF6,0.0,0.0001,0.0050373077392578125,5.149366855621338,5.149366855621338,-2.695202,5.149366855621338,5.149366855621338
agm003571547,K3ZnF6,0.0,0.0038,0.0008115768432617188,5.094104290008545,5.094104290008545,-2.6846356,5.094104290008545,5.094104290008545
agm004927671,KRb2ZnF6,0.0,0.0012000000000000001,0.00018215179443359375,5.04885196685791,5.04885196685791,-2.6809567999999997,5.04885196685791,5.04885196685791
agm003568602,Na3ZnF6,0.0,0.0073,0.0007829666137695312,5.030883312225342,5.030883312225342,-2.6363099,5.030883312225342,5.030883312225342
agm004927863,K2LiZnF6,0.0,0.0006000000000000001,0.0028247833251953125,4.972062110900879,4.972062110900879,-2.7299788,4.972062110900879,4.972062110900879
agm005282022,NaLa(PO3)4,5.1058,5.1109,5.95925235748291,0.23865357041358948,0.23865357041358948,-2.9220486,4.867146429586411,-4.867146429586411
agm002362242,Cs2ZnF5,0.0,0.029500000000000002,0.08858108520507812,4.858628749847412,4.858628749847412,-2.611062,4.858628749847412,4.858628749847412
agm002389112,K2ZnF5,0.0,0.0222,0.0007266998291015625,4.770562648773193,4.770562648773193,-2.6040716,4.770562648773193,4.770562648773193
