id,formula,pbe_pred,opt_pred,pbe_minus_opt
agm005267684,N2,0.10961902141571045,4.23621129989624,-4.12659227848053
agm003157165,N2,1.1966387033462524,4.325840950012207,-3.1292022466659546
agm003157166,N2,1.4603041410446167,4.133036136627197,-2.6727319955825806
agm004462534,N2,0.26811906695365906,2.8249289989471436,-2.5568099319934845
agm003157162,H2,0.0004940629005432129,2.465115547180176,-2.4646214842796326
agm004442760,H2,0.015323743224143982,2.46437406539917,-2.449050322175026
agm003157654,H2,0.018224909901618958,2.458083152770996,-2.439858242869377
agm004333769,BeBIr2,0.18266195058822632,2.621462345123291,-2.4388003945350647
agm003157163,H2,0.018929556012153625,2.4529199600219727,-2.433990404009819
agm005499563,La2(SiIr)3,-0.09466089308261871,2.325352907180786,-2.420013800263405
agm002087570,H2,0.03643089532852173,2.453946113586426,-2.417515218257904
agm001750322,Fe(NO)2,0.88939368724823,3.301104784011841,-2.411711096763611
agm003241359,H2,0.020315200090408325,2.42549991607666,-2.405184715986252
agm005221153,H2,0.04305073618888855,2.439424991607666,-2.3963742554187775
agm003219999,H2,0.02602909505367279,2.4119606018066406,-2.385931506752968
agm004442754,H2,0.021862268447875977,2.4022037982940674,-2.3803415298461914
agm004442764,H2,0.027556151151657104,2.3504536151885986,-2.3228974640369415
agm003157164,H2,0.028278812766075134,2.3440237045288086,-2.3157448917627335
agm004442762,H2,0.07912570238113403,2.386681318283081,-2.307555615901947
agm003279036,H2,0.050647392868995667,2.335451126098633,-2.284803733229637
agm004442755,H2,0.02551676332950592,2.3025612831115723,-2.2770445197820663
agm004462522,N2,0.4021984338760376,2.6486854553222656,-2.246487021446228
agm003732156,AsH3N,0.514516294002533,2.7564260959625244,-2.2419098019599915
agm003708036,PH3N,0.7103816270828247,2.9471912384033203,-2.2368096113204956
agm003157653,H2,0.028982236981391907,2.2628159523010254,-2.2338337153196335
agm004442757,H2,0.027039334177970886,2.2601821422576904,-2.2331428080797195
agm004442753,H2,0.07897521555423737,2.3018288612365723,-2.222853645682335
agm005225055,Y2BeIr,0.18513986468315125,2.3958053588867188,-2.2106654942035675
agm003157656,N2,1.4871816635131836,3.6770200729370117,-2.189838409423828
agm005490418,Sr2(AsIr)3,-0.1888134479522705,1.9795283079147339,-2.1683417558670044
agm001749413,FeSbNO2,0.5658859014511108,2.687215805053711,-2.1213299036026
agm004462532,N2,1.258646011352539,3.3489198684692383,-2.090273857116699
agm004462531,N2,1.0153782367706299,3.0673041343688965,-2.0519258975982666
agm001531842,Ca2TaSnRu,0.1418604850769043,2.186129093170166,-2.0442686080932617
agm003470399,As2H5N,0.7167346477508545,2.7082278728485107,-1.9914932250976562
agm004462471,NO,0.10211974382400513,2.04404354095459,-1.9419237971305847
agm003601557,SbAsH,0.41595107316970825,2.3478760719299316,-1.9319249987602234
agm005234282,Ho2AgSb3,-0.3957100510597229,1.5354989767074585,-1.9312090277671814
agm005490650,W3O,2.391159772872925,0.4679937958717346,1.9231659770011902
agm002770900,N2ClO,0.5802071690559387,2.496314525604248,-1.9161073565483093
agm002758603,Te2WC,1.0540554523468018,2.9645776748657227,-1.910522222518921
agm001750103,MgNiNO2,-0.10382919758558273,1.8055567741394043,-1.909385971724987
agm004449080,CO,-0.21488744020462036,1.6881966590881348,-1.9030840992927551
agm005499697,La2(PRh)3,-0.20007266104221344,1.6941221952438354,-1.894194856286049
agm001749374,GaFeNO2,0.5007644891738892,2.389155864715576,-1.888391375541687
agm005491239,Eu2(AsPt)3,-0.268400102853775,1.6130541563034058,-1.8814542591571808
agm005414336,NClO3,0.018531709909439087,1.8891204595565796,-1.8705887496471405
agm005282422,Tb2As3Au,-0.5160130262374878,1.350051999092102,-1.8660650253295898
agm003937863,BaCr3,1.1391781568527222,3.0019690990448,-1.8627909421920776
agm001751163,ScNiNO2,-0.2182440161705017,1.6442073583602905,-1.8624513745307922
agm006182957,N4F,1.345916986465454,3.2037582397460938,-1.8578412532806396
agm004462468,NO,0.419278621673584,2.2687864303588867,-1.8495078086853027
agm001851412,N2F,0.4494105577468872,2.295027256011963,-1.8456166982650757
agm005471916,Dy2CuSb3,-0.32244208455085754,1.5218802690505981,-1.8443223536014557
agm002859397,N2OF,0.2937183380126953,2.1261541843414307,-1.8324358463287354
agm002708405,NO2F,0.1517547369003296,1.9793974161148071,-1.8276426792144775
agm006190531,H2,0.028310999274253845,1.854972004890442,-1.826661005616188
agm006182200,N4O,1.451917290687561,3.2638919353485107,-1.8119746446609497
agm001696462,N2OF2,-0.07425151765346527,1.7315007448196411,-1.8057522624731064
agm001742567,NClO2F,-0.17138376832008362,1.6330088376998901,-1.8043926060199738
agm002538985,NO3F,-0.17593121528625488,1.6282800436019897,-1.8042112588882446
agm005409116,Y2ClO2,-2.4107015132904053,-0.6091933250427246,-1.8015081882476807
agm005966031,Ba(N4Cl)2,0.4614381194114685,2.2580134868621826,-1.7965753674507141
agm001730314,HSN2F,0.26239126920700073,2.0513968467712402,-1.7890055775642395
agm005473435,Tm2AgSb3,-0.2971162497997284,1.4888238906860352,-1.7859401404857635
agm002773414,BrN2O,0.6774741411209106,2.463289260864258,-1.7858151197433472
agm005438314,Er2AgSb3,-0.34938710927963257,1.4359074831008911,-1.7852945923805237
agm005449843,Nd2Sb3Pd,-0.3661786615848541,1.4184473752975464,-1.7846260368824005
