mat_id,sk_bandgap,band_gap_ind,e_above_hull,e_form
agm004135074,6717185.0,0.0,0.5210357,0.48468444
agm003997734,2916402.5,0.0,0.11766038000000001,-0.20626067
agm003108981,860252.0625,0.0,0.25039992,-0.27476653
agm001181095,326976.71875,0.0,0.19545265,0.15396859000000002
agm002913660,48.34677505493164,0.0,1.2181604,0.9666834
agm002963977,43.20270538330078,0.0,1.0293936,0.8448270999999999
agm001038573,41.07532501220703,0.0,0.15451289999999998,-0.042358503000000006
agm001070701,37.36077117919922,0.0,1.3673604,1.2740711
agm003258510,36.97066116333008,1.9325,0.0,-2.0900352
agm005546854,36.82061004638672,1.9181,0.00081348966,-2.0892217
agm001038572,35.79747009277344,0.0,0.18442056,-0.034378763
agm005494203,34.25889587402344,0.357,1.2303233,1.2303233
agm001069611,33.81453323364258,0.0,1.2804528,1.0430052
agm003789609,33.54756546020508,1.017,0.80317533,0.80317533
agm005964655,33.15970230102539,0.0,0.063152,0.015466623
agm004449335,33.079898834228516,0.9777,0.72983885,0.72983885
agm004449571,32.93985366821289,0.0,0.9468156,0.9468156
agm001022241,32.805599212646484,0.5581,0.067364246,-0.40334934
agm005608651,32.73003005981445,1.4878,0.0,-0.32344022
agm005964525,32.67110061645508,0.0,0.03333063,-0.01770984
agm005608625,32.61757278442383,1.5337,0.0,-0.47071359999999995
agm005710411,32.54182815551758,0.0,0.1374424,0.060310096
agm005655524,32.35367202758789,2.5952,0.042574126000000004,-0.71703154
agm003220257,32.20509719848633,1.8974000000000002,0.0,-2.4265356
agm005608142,32.17143249511719,1.6787,0.004979036,-0.27718532
agm005608640,31.67401885986328,1.8425,0.0,-0.6859813
agm001010490,31.582530975341797,1.9693,0.0,-0.28216437
agm005608073,31.551788330078125,0.038200000000000005,0.0,-0.9266256700000001
agm002223284,31.233034133911133,0.0,0.07340737,0.05619102300000001
agm001048052,31.165447235107422,2.3112,0.0,-0.43787566
agm005608091,30.70271110534668,0.8772000000000001,0.08487219,-1.1050414
agm003207239,30.548927307128906,9.0617,0.0,-2.195947
