comparison,N,MAE,RMSE,ME,med_abs_err,p90_abs_err,ref_metal_frac,pred_metal_frac,metal_gap_accuracy,TN_FP_FN_TP
"DFT_PBE_vs_SK (raw, includes 103 outliers)",1646162,6.258041449484882,5713.257851491532,6.140263093763588,0.00527229905128479,0.2649161064910893,0.9070219091438145,0.9074325613153504,0.9075048506769079,"1417312,75793,76469,76588"
DFT_PBE_vs_SK (post-clip 20 eV),1646059,0.20580966357182495,0.8309908686503575,0.0880239380231777,0.0052716732025146484,0.26413712432861325,0.9070610470220083,0.9074893427270833,0.9075166807508115,"1417312,75764,76469,76514"
