bin_label,DFT_lo_eV,DFT_hi_eV,N,MAE,ME,med_abs_err,p90_abs_err
metallic,0.0,0.05,1937667,0.057868395730118836,0.057679331399200284,0.004419922828674316,0.02539682388305664
narrow,0.05,1.0,86700,0.8363766951491641,0.2663982267078305,0.47899141864776607,1.9893893538665788
narrow-mid,1.0,2.0,49821,1.782149867866871,0.30302671523631486,1.4815180866241455,3.10905498046875
mid,2.0,4.0,51457,2.469246813920876,0.43970278839277155,2.2998205978393553,3.9317802059936526
wide,4.0,1000000.0,12802,3.1508309961160093,1.2349584054320906,2.8768994369506835,5.381624787597656
