comparison,N,MAE,RMSE,ME,med_abs_err,p90_abs_err,ref_metal_frac,pred_metal_frac,metal_gap_accuracy,TN_FP_FN_TP
DFT_vs_SK,2138447,0.20614445927433495,0.8273304343433213,0.08809798940928626,0.005245685577392578,0.2741510856628429,0.9061131746543168,0.9069123527494486,0.9077091926991878,"1839850,97825,99534,101238"
DFT_vs_ALIGNN,2138447,0.22241982672721178,0.5923824360902824,0.18581349342657963,0.022531498223543167,0.6472522660446176,0.9061131746543168,0.6253089274599745,0.7105549026934032,"1327951,609724,9239,191533"
SK_vs_ALIGNN,2138447,0.36796378055758566,0.9854705602816846,0.09771550401729329,0.025377601385116577,1.225350332260132,0.9069123527494486,0.6253089274599745,0.6692936509532385,"1284688,654696,52502,146561"
DFT_vs_ALIGNN (full ALIGNN 4.49M),4489295,0.1850846183793001,0.5509060079769704,0.1476934819701682,0.01389119029045105,0.5102542519569397,0.9189135487866135,0.7089701166887006,0.7809967934831639,"3162440,962834,20336,343685"
