subset,N,MAE,RMSE,ME,med_abs_err,p90_abs_err,ref_mean,pred_mean,confusion_TN_FP_FN_TP,accuracy
all,1330,3.3647927137775753,7.930967475326987,-3.1973208956841717,3.0189054188165194,5.182534197180623,7.022897471983408,3.825576576299237,"0,2,4,1324",0.9954887218045113
metals,2,3.7416852266900738,3.7416852266900738,3.7416852266900738,3.7416852266900738,3.7416852266900738,-0.0010884554498394757,3.7405967712402344,,
nonmetals,1328,3.3642251045713807,7.935608970228297,-3.207771206109434,3.0158895492514852,5.183884369840851,7.033475764042797,3.825704557933362,,
