subset,N,MAE,RMSE,ME,med_abs_err,p90_abs_err,ref_mean,pred_mean,confusion_TN_FP_FN_TP,accuracy
all,115535,0.1678663822801112,0.47634235153954313,0.024400895518721547,0.015322387218475342,0.4666495759201053,0.6526246886224955,0.6770255841412169,"69866,10829,1730,33110",0.8912970095642013
metals,80695,0.08093943055189746,0.3587171370868933,0.07642467952690664,0.008762985467910767,0.08669258356094371,0.0003778263832951236,0.07680250591020175,,
nonmetals,34840,0.3692030748664545,0.6740954044002206,-0.09609449054730876,0.18179562211036687,0.8826796634721755,2.163332511481056,2.0672380209337473,,
