subset,N,MAE,RMSE,ME,med_abs_err,p90_abs_err,p95_abs_err,p99_abs_err,pearson_r,pred_mean,pred_median,ref_mean,ref_median
all,9540,0.3143893284687138,0.3988090137827108,0.08993250544180366,0.2573979704344177,0.6584706707755278,0.7930051896827315,1.0597944577075429,0.9359035454685186,-0.30892198565660095,-0.1423054113984108,-0.39885449109840465,-0.20355707
metal,3177,0.29874308483624507,0.3748136686921581,-0.04205394804718367,0.25663944189605714,0.6249538435986023,,,,,,,
non-metal,6363,0.3222013850489987,0.41026475944671553,0.15583238957421175,0.2575975137732887,0.6782918225948333,,,,,,,
bg:metal (=0),3177,0.29874308483624507,0.3748136686921581,-0.04205394804718367,0.25663944189605714,,,,,,,,
"bg:small (0,0.5]",2132,0.3101268779132717,0.38604070826804116,0.007374117457479981,0.26321767646217353,,,,,,,,
"bg:med  (0.5,1.5]",1653,0.2855274192344568,0.3698356536580171,0.0983644536009989,0.22630375853347784,,,,,,,,
"bg:wide (1.5,3.5]",1664,0.3369874141070658,0.43728871719089873,0.28022320245349375,0.2464232615913391,,,,,,,,
bg:ultra (>3.5),914,0.3897735539244737,0.47817639314332366,0.37959740235918743,0.33899928676910385,,,,,,,,
card:2 elem,9540,0.3143893284687138,0.3988090137827108,0.08993250544180366,0.2573979704344177,,,,,,,,
