threshold_eV_per_atom,count_within,fraction
0.005,124,0.0129979035639413
0.01,213,0.02232704402515723
0.02,396,0.04150943396226415
0.05,995,0.10429769392033543
0.1,1972,0.20670859538784067
0.2,3832,0.40167714884696015
0.3,5384,0.5643605870020965
0.5,7563,0.7927672955974843
1.0,9398,0.9851153039832286
