threshold_eV_per_atom,count_within,fraction
0.005,1386,0.01576737995290263
0.01,2826,0.03214907341046381
0.02,5699,0.06483282709350079
0.05,14375,0.16353253017530686
0.1,28588,0.3252221198366381
0.2,53129,0.604404855351922
0.3,68836,0.783090451975473
0.5,82683,0.9406163612163407
1.0,87519,0.9956315484113171
