id,formula,pbe_pred,opt_pred,pbe_minus_opt
agm2000000337,P,0.2633993625640869,3.3643698692321777,-3.100970506668091
agm2000000020,As,0.13255465030670166,2.764009952545166,-2.6314553022384644
agm2000000303,N2,0.18959927558898926,2.6629409790039062,-2.473341703414917
agm2000045656,YN,-0.17047548294067383,1.8339948654174805,-2.0044703483581543
agm2000041696,SbAs,0.3400346338748932,2.315906524658203,-1.97587189078331
agm2000045569,TbN,-0.265361487865448,1.657638430595398,-1.922999918460846
agm2000045542,SmN,-0.15759415924549103,1.7646008729934692,-1.9221950322389603
agm2000045447,NdN,-0.1376640647649765,1.7417625188827515,-1.879426583647728
agm2000047957,BaS,-1.9883778095245361,-0.14094066619873047,-1.8474371433258057
agm2000046334,CaO,-2.1512081623077393,-0.4009673595428467,-1.7502408027648926
agm2000045397,LaN,-0.7641098499298096,0.9641914963722229,-1.7283013463020325
agm2000026957,LaN,-1.0148701667785645,0.6837288737297058,-1.6985990405082703
agm2000050804,Rh4S7,-0.29401087760925293,1.3937019109725952,-1.6877127885818481
agm2000006294,LaN,-1.00502347946167,0.6477183103561401,-1.65274178981781
agm2000031633,LaN,-1.0598399639129639,0.5751705169677734,-1.6350104808807373
agm2000031706,BaO,-2.3333566188812256,-0.7345951795578003,-1.5987614393234253
agm2000045391,LaN,-0.4218403398990631,1.1754876375198364,-1.5973279774188995
agm2000006707,BaO,-2.3842647075653076,-0.7914828062057495,-1.592781901359558
agm2000126634,Cu3Pd,0.44399142265319824,2.0363268852233887,-1.5923354625701904
agm2000046566,SrO,-2.2400686740875244,-0.6733611226081848,-1.5667075514793396
agm2000027088,CaO,-2.4139626026153564,-0.8786761164665222,-1.5352864861488342
agm2000042416,CO2,0.8043560981750488,2.3056554794311523,-1.5012993812561035
agm2000004565,CS2,-0.1421886682510376,1.3452608585357666,-1.4874495267868042
agm2000045342,GdN,-0.11859425902366638,1.3577364683151245,-1.476330727338791
agm2000026989,ScN,-0.6705996990203857,0.801812469959259,-1.4724121689796448
agm2000000307,O2,0.027453571557998657,1.4913268089294434,-1.4638732373714447
agm2000007927,MnS,-0.39630213379859924,1.0660531520843506,-1.4623552858829498
agm2000006716,CaO,-2.5279572010040283,-1.078696846961975,-1.4492603540420532
agm2000006320,NdN,-0.48797228932380676,0.9608933329582214,-1.4488656222820282
agm2000030465,CS2,-0.18559719622135162,1.257700800895691,-1.4432979971170425
agm2000027087,CaO,-2.4949045181274414,-1.0563687086105347,-1.4385358095169067
agm2000124650,MgTi2,0.6643427014350891,2.0984604358673096,-1.4341177344322205
agm2000006843,SrO,-2.48229718208313,-1.0553265810012817,-1.4269706010818481
agm2000011097,CS2,-0.16403648257255554,1.248275876045227,-1.4123123586177826
agm2000047837,La2S3,-2.1984477043151855,-0.7903106212615967,-1.4081370830535889
agm2000005820,MgS,-1.3057148456573486,0.08596088737249374,-1.3916757330298424
agm2000038641,CoTe,0.4350939989089966,1.8046659231185913,-1.3695719242095947
agm2000038642,CoTe,0.43504393100738525,1.8039299249649048,-1.3688859939575195
agm2000032230,SrS,-1.8013267517089844,-0.44446301460266113,-1.3568637371063232
agm2000027472,SrS,-1.672637701034546,-0.31655997037887573,-1.3560777306556702
agm2000045444,NdN,-0.5771116614341736,0.76652991771698,-1.3436415791511536
agm2000007835,BaS,-1.7579333782196045,-0.41752374172210693,-1.3404096364974976
agm2000027421,BaS,-1.739062786102295,-0.407482385635376,-1.331580400466919
agm2000026796,MgS,-1.2594013214111328,0.070758156478405,-1.3301594778895378
agm2000027197,EuP,-0.565155029296875,0.7642465233802795,-1.3294015526771545
agm2000025078,ZnCl2,-1.2647504806518555,0.06410547345876694,-1.3288559541106224
agm2000006720,CdO,-0.8743285536766052,0.44781380891799927,-1.3221423625946045
agm2000006780,MgO,-2.0324273109436035,-0.7124868035316467,-1.3199405074119568
agm2000008014,ZnS,-0.6673372387886047,0.6497787833213806,-1.3171160221099854
agm2000027849,NiCl2,-0.7507741451263428,0.5623260140419006,-1.3131001591682434
agm2000026969,NdN,-0.5128645300865173,0.7997205257415771,-1.3125850558280945
agm2000031431,MgS,-1.2865322828292847,0.02392037957906723,-1.310452662408352
agm2000011580,MgO,-2.148360013961792,-0.8458191752433777,-1.3025408387184143
agm2000032152,BaS,-1.8133506774902344,-0.5180297493934631,-1.2953209280967712
agm2000047819,Gd2S3,-2.096660852432251,-0.805205762386322,-1.291455090045929
agm2000002936,ZnCl2,-1.284281611442566,0.006949163973331451,-1.2912307754158974
agm2000007985,SrS,-1.553215503692627,-0.26258713006973267,-1.2906283736228943
agm2000032154,CaS,-1.8182722330093384,-0.5304865837097168,-1.2877856492996216
agm2000009483,ZnCl2,-1.3092213869094849,-0.02186772972345352,-1.2873536571860313
agm2000007644,MoS2,-0.48469313979148865,0.8013597726821899,-1.2860529124736786
agm2000030914,ZnCl2,-1.265404224395752,0.019210629165172577,-1.2846148535609245
agm2000027373,MoS2,-0.4852498173713684,0.7990934252738953,-1.2843432426452637
agm2000027011,YN,-0.5669446587562561,0.7171764373779297,-1.2841210961341858
agm2000030714,BeCl2,-1.733034610748291,-0.4534150958061218,-1.2796195149421692
agm2000042690,RuCl3,-0.6974446773529053,0.5792745351791382,-1.2767192125320435
agm2000123461,CaY2,0.6118840575218201,1.8829431533813477,-1.2710590958595276
agm2000041842,BF3,-2.523021936416626,-1.2521320581436157,-1.2708898782730103
agm2000046116,Y2O3,-3.0785961151123047,-1.8381773233413696,-1.240418791770935
agm2000050714,Nb2S5,-0.8554583787918091,0.3841770887374878,-1.2396354675292969
agm2000006387,SmN,-0.4999333918094635,0.7376148104667664,-1.2375482022762299
agm2000050712,Mo2S5,-0.6476601958274841,0.5875913500785828,-1.235251545906067
agm2000027108,InO,-1.3005565404891968,-0.06793857365846634,-1.2326179668307304
agm2000006326,NdN,-0.9360482692718506,0.29645979404449463,-1.2325080633163452
agm2000031643,NdN,-0.5521730780601501,0.6795026659965515,-1.2316757440567017
agm2000050733,Ru2S5,-0.5816733837127686,0.6490398049354553,-1.2307131886482239
agm2000026141,SiS2,-0.6007554531097412,0.6293238997459412,-1.2300793528556824
agm2000038130,CCl4,-0.1573183834552765,1.0696676969528198,-1.2269860804080963
agm2000026423,CS2,-0.14824986457824707,1.0761257410049438,-1.224375605583191
agm2000007107,LaP,-0.303226500749588,0.9196235537528992,-1.2228500545024872
agm2000007867,CrS,-0.2676638662815094,0.9487397074699402,-1.2164035737514496
agm2000032292,Ti2Se3,-0.4974523186683655,0.718134343624115,-1.2155866622924805
agm2000076359,FeICl3,-0.5918330550193787,0.6221321225166321,-1.2139651775360107
agm2000045036,Ba3N2,-0.2119433730840683,0.9933516383171082,-1.2052950114011765
agm2000039892,MoI4,0.07250809669494629,1.277631163597107,-1.2051230669021606
agm2000006277,InN,0.3673168420791626,1.5663185119628906,-1.199001669883728
agm2000047877,Tb2S3,-2.0470356941223145,-0.8552006483078003,-1.1918350458145142
agm2000024960,BeI2,-0.3695096969604492,0.8160397410392761,-1.1855494379997253
agm2000113229,P2Cl3,-0.7923828959465027,0.3924451172351837,-1.1848280131816864
agm2000007837,BaS,-1.6980938911437988,-0.51479172706604,-1.1833021640777588
agm2000004288,BeS,-0.8916648626327515,0.2911650240421295,-1.182829886674881
agm2000115522,S3I4,-0.2327708899974823,0.9492821097373962,-1.1820529997348785
agm2000127931,Sr3La,0.2993519604206085,1.4810216426849365,-1.181669682264328
agm2000006282,InN,0.19861558079719543,1.3800464868545532,-1.1814309060573578
agm2000122498,PdI,-0.02316775918006897,1.1556731462478638,-1.1788409054279327
agm2000002858,BeCl2,-1.644365906715393,-0.468463271856308,-1.175902634859085
agm2000093860,GeSCl2,-0.9139077663421631,0.2607872784137726,-1.1746950447559357
agm2000127937,Sr3Y,0.35127103328704834,1.51836359500885,-1.1670925617218018
agm2000130502,CdS6,-0.35252171754837036,0.8141198754310608,-1.1666415929794312
agm2000031620,GdN,-0.6353963613510132,0.5261456370353699,-1.161541998386383
agm2000123458,CaTb2,0.5621698498725891,1.7216742038726807,-1.1595043540000916
