metric,value
N,9540
MAE,0.4849550183178497
RMSE,0.7553746175866193
ME,-0.1428562425097564
med_abs_err,0.2734532593309879
p90_abs_err,1.2550960549163819
ref_mean,1.0695986373165618
ref_std,1.5154719717056455
pred_mean,0.9267423948068054
pred_std,1.371760578667176
dataset,v09_1d
reference,band_gap_ind
confusion_TN_FP_FN_TP,"1929,1646,930,5035"
accuracy_metal_vs_gap,0.729979035639413
