comparison,N,MAE,RMSE,ME,med_abs_err,p90_abs_err,ref_metal_frac,pred_metal_frac,metal_gap_accuracy,TN_FP_FN_TP
DFT_PBE_vs_SK (full 45k SK run),40807,1.039221405937055,2.028825765103623,0.3439717118965538,0.023224830627441406,3.163696694488526,0.5474550934888622,0.7139951478912931,0.7851839145244689,"21355,985,7781,10686"
DFT_PBE_vs_SK,6781,1.0341866000523523,2.026776880314589,0.33252951127863084,0.026948928833007812,3.067610101318359,0.5404807550508774,0.7139065034655655,0.7782038047485622,"3501,164,1340,1776"
DFT_PBE_vs_ALIGNN,6781,0.17743379158569486,0.4431139050406961,0.018571077283115484,0.02655740604400636,0.48716996612548824,0.5404807550508774,0.47500368677186255,0.9047338150715234,"3120,545,101,3015"
SK_vs_ALIGNN,6781,1.0842767422391155,2.0675391455199903,-0.3139584339955153,0.12339472770690918,3.1329736709594727,0.7139065034655655,0.47500368677186255,0.7221648724376936,"3089,1752,132,1808"
