bin_label,DFT_lo_eV,DFT_hi_eV,N,MAE,ME,med_abs_err,p90_abs_err
metallic,0.0,0.05,22340,0.05515551989777929,0.05461142330926556,0.0036547183990478516,0.020605576038360617
narrow,0.05,1.0,4336,0.9256166802809928,0.2287218255247337,0.6508430362701416,2.015625366973877
narrow-mid,1.0,2.0,4965,1.9096411387846102,0.3232262213972463,1.5572871158599852,3.281719768371582
mid,2.0,4.0,6793,2.8762311088916332,0.8878594217057001,2.504232776641846,4.909383191833496
wide,4.0,1000000.0,2373,3.431206698311071,1.765128265602311,3.2228541290283204,5.811318497314455
