id,formula,pbe_pred,opt_pred,pbe_minus_opt
agm001231920,LaEuZn2,1.1293225288391113,-0.41820693016052246,1.5475294589996338
agm001232005,PrEuZn2,0.7124080061912537,-0.3798595666885376,1.0922675728797913
agm003269539,Pu2InPt2,0.11165323853492737,-0.9277867674827576,1.039440006017685
agm003404222,Pu2SnPt2,0.02855822443962097,-0.9796625375747681,1.008220762014389
agm002234886,Pu2TlPt2,0.19238433241844177,-0.8020744323730469,0.9944587647914886
agm001231951,NdEuZn2,0.5813019871711731,-0.3837592303752899,0.965061217546463
agm002179958,Pu2Pd2Pb,0.3029876947402954,-0.6479090452194214,0.9508967399597168
agm005900099,Pu2BiPt2,0.02782583236694336,-0.9099225401878357,0.937748372554779
agm005832871,Pu2SbPt2,-0.12007253617048264,-1.001892328262329,0.8818197920918465
agm003395674,Pu2Pt2Au,-0.01035165786743164,-0.8823038339614868,0.8719521760940552
agm005410664,Eu(MnGe)2,-0.34255918860435486,-1.208209753036499,0.8656505644321442
agm005289126,PuTe2,-0.2217293381690979,-1.0830459594726562,0.8613166213035583
agm003232173,ClO2,-0.535804271697998,0.2954760789871216,-0.8312803506851196
agm002351369,Pu2HgPt2,0.055034488439559937,-0.7730749249458313,0.8281094133853912
agm002261476,Pu2CdPt2,-0.03552165627479553,-0.8626847863197327,0.8271631300449371
agm003395663,Pu2AgPt2,0.003635719418525696,-0.8065662980079651,0.8102020174264908
agm002234762,Pu2TlPd2,0.2301102876663208,-0.576772153377533,0.8068824410438538
agm003211534,EuVO4,-2.8359265327453613,-3.6189193725585938,0.7829928398132324
agm005543511,NF3,-0.9104379415512085,-0.13284644484519958,-0.7775914967060089
agm002281331,Pu3In3Ir2,0.17280104756355286,-0.6035585403442383,0.7763595879077911
agm002169632,ClO2F,-0.8093093633651733,-0.043084241449832916,-0.7662251219153404
agm003231566,FeSO4,-2.05421781539917,-1.2905194759368896,-0.7636983394622803
agm005279378,NO2,-0.7727048397064209,-0.009040609002113342,-0.7636642307043076
agm002351354,Pu2Pt2Pb,-0.058393754065036774,-0.8182759881019592,0.7598822340369225
agm003247361,SClO2F,-1.7611736059188843,-1.0072619915008545,-0.7539116144180298
agm003269529,Pu2InPd2,0.06628885865211487,-0.6873660087585449,0.7536548674106598
