id,sk_gap,alignn_gap,dft_gap
agm1000019119,1.1136846542358398,0.08372913300991058,0.0
agm1000001360,0.0035972595214843,0.011951595544815063,0.0
agm1000007792,0.0197296142578125,-0.019433915615081787,0.0
agm1000000418,1.3820195198059082,-0.02849520742893219,0.273
agm1000005613,0.156224250793457,0.05631129443645477,0.0
agm1000001605,0.5983409881591797,0.0016145557165145874,0.1668
agm1000002758,0.0981054306030273,0.1649395227432251,0.0
agm1000006597,2.493393898010254,0.20950347185134888,1.3906
agm1000013226,0.1837072372436523,0.04496955871582031,0.3464
agm1000018920,0.007988691329956,1.309165120124817,0.0
agm1000003001,0.0094718933105468,0.8438024520874023,0.27
agm1000006669,1.190601825714111,0.10472086071968079,1.4542000000000002
agm1000004291,0.1488909721374511,0.06473866105079651,0.0
agm1000010014,0.3192481994628906,0.1559455692768097,0.0
agm1000003014,2.064976692199707,0.9692221879959106,1.3983
agm1000008757,2.3879454135894775,0.0021034181118011475,1.4611
agm1000013813,0.2183961868286132,0.020483046770095825,0.6188
agm1000013074,0.0611228942871093,0.015973374247550964,0.0
agm1000012106,0.4792933464050293,0.04949534684419632,0.4059
agm1000018978,0.0064406394958496,0.0026513338088989258,0.0
agm1000010884,0.0032663345336914,0.0324920117855072,0.0
agm1000004191,0.4138169288635254,0.020529866218566895,0.0229
agm1000019885,0.1889891624450683,0.01733344793319702,0.2548
agm1000012814,0.5562314987182617,-0.0015499293804168701,0.0
agm1000007522,0.7016017436981201,0.0497833788394928,0.1768
agm1000013108,1.2012996673583984,0.05052143335342407,0.0
agm1000008600,0.029026985168457,0.07185561954975128,0.0
agm1000015342,0.0038790702819824,0.45128655433654785,0.0
agm1000015517,0.0069758892059326,0.03656761348247528,0.0
agm1000018178,0.5062165260314941,0.16557461023330688,0.5234
agm1000018620,0.0111639499664306,0.1491662561893463,0.0175
agm1000011946,1.7462942600250244,0.10811315476894379,1.0499
agm1000011232,0.00016450881958,0.03639829158782959,0.0
agm1000012717,0.2641799449920654,0.13199059665203094,0.0
agm1000010159,0.0386519432067871,0.005107998847961426,0.0
agm1000006927,0.0547132492065429,0.15870468318462372,0.1018
agm1000009798,8.106231689453125e-06,0.06457725167274475,0.3812
agm1000010094,3.406459093093872,0.7376158237457275,2.8836
