id,Tc_K,dosef,debye_K,lambda,wlog_K,sk_bandgap_eV
agm001121587,0.712000,2.005816,393.950714,0.376747,239.972597,0.001082
agm003299765,0.851000,3.314689,326.050018,0.414482,163.381950,0.008632
agm002035669,0.154000,2.662546,1008.281372,0.287993,481.986181,0.004218
agm003601955,0.296000,6.238529,305.684601,0.345582,180.275434,0.003433
agm003264343,0.507000,6.255544,453.190125,0.354673,256.079567,0.000888
agm003173261,0.173000,2.752180,312.073151,0.328744,155.741676,0.001154
agm001416257,8.301000,3.068994,477.647339,0.729475,207.859966,0.001343
agm001836398,0.817000,1.314893,448.623688,0.379611,262.177940,0.001240
agm002493534,0.345000,0.283845,502.368561,0.341796,228.153180,0.005079
agm003186523,0.000000,3.261834,311.837433,0.208712,176.210004,0.002287
agm002158243,0.000000,3.164540,270.470306,0.183562,138.640528,0.012019
agm002182830,0.099000,9.886232,310.474487,0.314668,128.863884,0.001506
agm003174856,0.019000,2.470844,289.771057,0.265436,158.947342,0.004895
agm003264047,6.338000,1.737569,643.098328,0.520323,436.807075,0.000634
agm003190362,0.635000,0.986465,372.690399,0.372261,230.561638,0.005748
agm001139277,1.247000,4.450859,315.617706,0.451689,155.786788,0.002357
agm002197494,0.008000,1.868567,422.776031,0.243462,213.754054,0.026087
agm002372303,1.430000,5.031034,384.764618,0.441695,198.739518,0.000430
agm001196561,0.964000,1.870010,513.698608,0.388030,270.504798,0.001179
agm001115304,0.018000,4.105925,359.191437,0.255104,258.309680,0.001268
agm002539299,0.683000,2.025673,372.045746,0.423396,117.239807,0.017058
agm002329070,0.027000,4.885821,601.547913,0.258799,313.280888,0.005223
agm002347773,3.061000,3.161389,391.174896,0.525075,204.324482,0.000657
agm002156115,0.342000,3.377863,406.601044,0.341919,225.514199,0.001781
agm001399117,0.000000,1.233649,369.622467,0.118706,218.634314,0.000800
agm001614359,0.000000,0.948874,537.813599,0.201197,288.089919,0.008772
agm002134198,0.020000,3.913302,582.618286,0.253796,304.705444,0.002276
agm002232868,2.216000,5.006091,419.810730,0.468593,234.283200,0.000001
agm001116602,2.181000,3.386518,324.174103,0.485986,197.227871,0.004614
agm002691021,0.000000,0.886682,294.678619,0.116964,182.292557,0.030237
agm003438162,0.024000,5.370778,355.611786,0.269524,159.974378,0.001407
agm002239067,0.782000,6.864519,418.398468,0.383359,236.536899,0.002226
agm003202331,1.409000,3.641960,804.223938,0.381298,439.545523,0.004094
agm001614655,0.000000,1.382975,371.496674,0.181161,221.468824,0.003935
agm002346532,0.015000,0.610060,343.088745,0.246382,351.114764,1.280927
agm001196165,0.000000,1.092186,486.917816,0.165744,274.787465,0.001077
agm003195422,0.000000,0.563140,1028.388672,0.186691,673.204381,0.007409
agm001199021,0.000000,0.650356,579.810669,0.105973,330.508023,0.006454
agm002180603,0.338000,7.685892,347.974335,0.349126,191.344541,0.003900
agm002645290,0.000000,1.828770,620.458374,0.127466,366.341500,0.000332
agm002363730,11.783000,5.748818,468.281769,0.997919,157.635627,0.001205
agm003186118,1.190000,2.298029,464.491608,0.408189,249.381363,0.004695
agm002188025,0.825000,2.393022,434.029144,0.408974,170.640184,0.017110
agm003283597,12.171000,1.428374,249.404602,1.100279,141.755504,0.005258
agm002158625,1.392000,3.642662,443.839203,0.432292,214.962255,0.009921
agm003195146,0.012000,2.459252,423.680847,0.248215,256.182865,0.002103
agm003202415,0.000000,-0.058307,329.295563,0.036768,173.640409,0.124398
agm001135198,0.099000,2.230005,448.977142,0.300436,199.723965,0.000247
agm002925959,0.623000,2.279423,317.878326,0.395803,154.993333,0.003756
agm001332375,0.248000,2.374756,332.115814,0.354424,125.812781,0.000013
agm003771889,0.025000,2.342022,331.389923,0.269919,163.827474,0.003620
agm001171196,13.017000,3.765924,651.488770,0.756736,298.371968,0.002626
agm003160500,0.008000,0.606000,453.325653,0.240975,266.108398,0.003104
agm003613674,0.027000,0.875243,408.845001,0.263093,248.232472,0.010804
agm002565692,0.323000,2.810706,220.681931,0.375282,111.154838,0.007197
agm002340004,5.537000,2.354387,369.744995,0.689519,158.502351,0.002182
agm002746612,2.858000,4.331032,356.789276,0.532155,181.314292,0.006796
agm002179193,1.256000,5.811303,411.036835,0.424535,212.990413,0.002898
agm001341706,0.000000,0.535496,325.174255,0.109729,212.171922,0.011082
agm001186437,0.017000,2.127823,399.166046,0.256558,216.833097,0.000000
agm003774846,2.252000,11.620058,316.165527,0.497255,185.492542,0.002259
agm002139844,0.002000,3.916694,686.367798,0.219086,425.415882,0.000556
agm001272127,7.291000,2.345712,373.851349,0.827156,138.238814,0.001282
agm003190742,3.673000,6.059820,198.258942,0.668131,114.980489,0.007529
agm005202393,0.028000,3.613491,438.761200,0.265786,222.727621,0.003003
agm001267857,7.751000,2.418338,353.873932,0.865805,134.596270,0.003294
agm002136384,7.258000,9.513146,269.679352,0.968396,102.924681,0.010188
agm002156005,11.884000,2.657957,155.495529,2.086044,68.527143,0.006261
agm001277566,8.963000,3.366851,327.362335,0.812574,177.103810,0.004778
agm002753720,6.938000,4.501927,365.483368,0.709853,185.885123,0.001005
agm002028544,12.020000,5.060214,316.133453,1.029167,154.322665,0.000247
agm001149809,9.011000,3.632543,352.256927,0.909213,142.235935,0.003502
agm003182002,5.942000,6.935004,209.416611,0.880023,100.028597,0.002220
agm001150083,11.205000,5.903409,346.956207,1.041758,141.364830,0.009305
agm002166655,10.127000,4.517374,389.134369,0.935878,152.624380,0.009743
agm001945535,35.631000,0.532824,385.421631,0.960217,508.373513,0.032742
agm002245095,6.612000,4.738387,283.965363,0.764461,148.706669,0.001620
agm001617003,7.292000,3.016476,444.484894,0.666906,228.000380,0.001869
agm002374062,9.530000,2.690710,417.494843,0.957795,136.447620,0.006988
agm002429309,1.268000,3.310661,543.579285,0.408042,265.585422,0.001704
agm001618602,11.308000,3.667931,474.263611,0.801831,228.317845,0.001556
agm001850187,15.963000,4.528733,332.202087,1.330006,142.847479,0.001220
agm001136782,9.537000,5.778346,334.018341,0.919495,148.452069,0.001699
agm002184611,10.147000,4.280710,418.898895,0.836127,189.939092,0.000280
agm002562366,6.196000,4.132812,375.255524,0.784038,130.974402,0.002380
agm002924690,6.948000,3.087216,444.759857,0.647222,235.284191,0.000471
agm003164886,7.743000,5.412991,168.150742,1.046442,97.371829,0.001260
agm005117834,9.148000,2.263915,700.762573,0.604890,378.370721,0.000869
agm003297803,15.337000,9.038304,466.235718,1.095081,179.468412,0.000221
agm003158244,8.994000,5.735777,175.795593,1.356701,79.514727,0.002219
agm003202223,2.555000,3.413885,284.089569,0.514695,183.842547,0.005349
agm003193709,8.428000,6.603939,297.687531,0.907460,134.330387,0.000889
agm001280844,8.622000,6.402633,161.437790,1.193908,89.400230,0.002573
agm001280579,13.292000,4.661984,484.377625,0.891620,220.109071,0.003615
