id,Tc_K,dosef,debye_K,lambda,wlog_K,sk_bandgap_eV
agm003769282,9.750000,9.067489,479.847198,0.704090,267.123489,0.001643
agm001624792,0.782000,3.064092,404.741302,0.395073,196.702827,0.001529
agm003192700,2.270000,3.681760,367.316284,0.506444,173.400996,0.019716
agm001311652,0.000000,0.744662,428.471954,0.148081,278.932679,0.003773
agm001129235,0.000000,3.611043,708.813843,0.156176,393.729575,0.000843
agm001830312,2.355000,1.536459,298.377838,0.532656,148.854177,0.020969
agm002634241,0.075000,1.578970,335.628754,0.306649,124.807065,0.000830
agm003471761,0.172000,4.888026,401.470245,0.309024,265.506753,0.001278
agm001337121,1.514000,2.888458,290.276764,0.544681,88.053369,0.014899
agm003263116,0.022000,4.978350,606.535339,0.253410,335.710670,0.008676
agm003434566,0.012000,2.112110,305.677643,0.256002,159.417983,0.009563
agm003435724,1.004000,5.976073,435.500275,0.392301,263.900009,0.002361
agm003436025,6.535000,6.211959,374.027985,0.651575,218.784219,0.000447
agm003299314,3.478000,5.944877,282.520050,0.538045,212.244265,0.003028
agm001232561,0.725000,0.890860,351.441254,0.405782,156.888671,0.007301
agm002925880,13.112000,3.716714,451.461700,1.382735,110.218478,0.003012
agm001130151,0.007000,1.116972,333.216156,0.248425,142.022784,0.003479
agm003178453,0.041000,1.263174,422.521881,0.271515,250.579910,0.003047
agm003204379,0.019000,3.275321,814.247009,0.247320,411.833167,0.000004
agm002314062,0.000000,0.451798,401.548157,0.080893,242.432533,0.011127
agm002244919,0.527000,5.764048,411.522247,0.360311,238.324921,0.003418
agm001116564,3.087000,3.450094,484.625763,0.511000,228.133535,0.000189
agm002565225,0.065000,2.985489,296.059753,0.300120,131.618169,0.001261
agm001137203,3.396000,3.194524,483.702087,0.543294,199.699775,0.013323
agm003771400,0.031000,2.466031,312.337311,0.275430,161.947549,0.003151
agm001284048,0.103000,2.624816,437.522675,0.295059,250.053631,0.008091
agm003186327,0.005000,1.318316,567.515991,0.233681,294.772269,0.003958
agm001289539,0.007000,1.152840,477.949188,0.241664,217.242173,0.000001
agm001116647,0.000000,1.874785,344.134186,0.182896,205.953423,0.001424
agm001616933,0.178000,2.831845,349.811188,0.331630,149.290219,0.000050
agm001121571,5.485000,2.909399,491.510406,0.590142,245.271788,0.000412
agm001150793,0.173000,2.704532,453.684601,0.305160,300.389130,0.004768
agm003169384,3.451000,5.019069,480.486145,0.570038,172.436688,0.005732
agm003557884,15.585000,2.018944,640.986938,0.805649,311.884427,0.006018
agm002744567,0.355000,3.381331,344.979034,0.345477,217.202620,0.001849
agm003157158,24.611000,1.865506,345.257904,1.738015,162.779146,0.001351
agm002190662,4.314000,4.071921,456.011597,0.580417,203.521720,0.002878
agm002249208,0.043000,2.744291,491.055023,0.271103,269.568380,0.003500
agm003435928,0.041000,3.892060,412.552155,0.269609,272.322178,0.001399
agm002134934,0.009000,2.757967,588.551331,0.238448,351.125657,0.000615
agm001230266,4.911000,4.240425,484.669769,0.586144,224.783750,0.000465
agm005020139,0.000000,1.362649,438.756317,0.197708,282.224836,0.019004
agm003157791,0.000000,0.633795,790.472290,0.188421,510.174613,0.020720
agm003262918,0.824000,6.182142,669.759033,0.362455,358.202885,0.002494
agm002305622,0.068000,1.809718,368.820038,0.284729,238.907419,0.009708
agm003186694,2.260000,1.959476,338.836304,0.521446,154.724373,0.003497
agm001235022,0.443000,0.663547,305.192902,0.387345,125.359389,0.218875
agm001620092,0.876000,2.118739,472.020813,0.390660,235.795867,0.000072
agm003290417,5.003000,8.912071,416.501373,0.587266,226.883406,0.000549
agm002164196,0.000000,2.806283,580.773682,0.156965,343.855315,0.002094
agm003766977,4.535000,5.429541,299.023712,0.633201,164.542112,0.000692
agm002749645,3.024000,4.131437,401.425690,0.520231,208.836225,0.004261
agm001150827,2.172000,3.902894,507.956482,0.459779,250.159348,0.002474
agm001116552,9.132000,5.230103,415.268616,0.758987,208.975125,0.002479
agm001217943,0.014000,2.000732,384.683746,0.256240,177.476134,0.008187
agm001304908,0.000000,1.653802,571.699341,0.164693,261.439412,0.003633
agm003258129,4.984000,5.964798,520.510437,0.594153,217.109956,0.000959
agm001115814,0.000000,1.642665,363.627472,0.171655,222.534083,0.006402
agm001135256,0.410000,1.699390,473.504181,0.350408,225.786592,0.000467
agm002354502,0.962000,5.276874,372.572540,0.417162,178.934414,0.002008
agm002216055,1.040000,2.423125,484.722076,0.343571,661.446889,0.019126
agm002187751,2.359000,2.521145,483.769806,0.476946,230.979053,0.001562
agm002170319,0.000000,5.047313,554.339966,0.178293,498.712470,0.003489
agm002138670,0.035000,0.836944,445.129486,0.267642,253.598302,0.016520
agm001829113,0.471000,3.069765,512.121460,0.351790,252.519130,0.000236
agm003201841,3.601000,2.912891,621.923401,0.489404,315.851371,0.006257
agm001258419,0.010000,1.069537,464.651886,0.240860,352.150221,0.016422
agm002327186,1.882000,3.902100,433.648651,0.489156,165.497427,0.003187
agm002924978,0.006000,1.630675,435.627014,0.237803,244.331893,0.007185
agm003614522,0.092000,2.330599,580.896301,0.290521,260.355248,0.009880
agm003157708,7.462000,1.560248,349.812531,0.814931,146.167894,0.003400
agm002268056,0.008000,3.595596,275.627777,0.249602,162.140831,0.001633
agm005108774,0.587000,2.525603,417.793884,0.388029,164.332463,0.007441
agm003166093,0.080000,1.061311,386.322174,0.290578,227.602345,0.002380
agm001114282,3.673000,3.079827,389.490356,0.559437,195.766143,0.007902
agm002403920,0.000000,0.367073,481.023102,0.165204,329.634500,0.001745
agm002200467,0.000000,2.393636,287.508575,0.147931,198.051576,0.001406
agm002224424,0.000000,2.487412,377.326630,0.193314,242.521641,0.000695
agm001267704,6.508000,2.951382,307.601166,0.796167,134.076586,0.012808
agm002218946,0.000000,1.559231,373.452850,0.203122,198.783158,0.002197
agm003169085,0.894000,1.587649,515.637634,0.403230,199.962550,0.012391
agm003162114,11.481000,6.180875,418.207184,0.796293,236.159267,0.002470
agm003160604,0.096000,1.505692,344.401550,0.299173,202.578882,0.227543
agm001310968,0.000000,0.841685,383.392792,0.186218,246.573797,0.005215
agm003192814,0.477000,1.589085,389.510529,0.353978,244.216620,0.005211
agm003192956,1.805000,2.763481,332.941681,0.486541,162.476708,0.001550
agm003627737,0.000000,2.189995,313.670837,0.207142,187.462579,0.022042
agm001416705,6.297000,3.198527,528.018921,0.615525,246.359857,0.001363
agm001171383,0.034000,2.246149,799.391968,0.258816,393.446633,0.004727
agm003194265,0.017000,2.591979,297.754059,0.258084,204.590274,0.021045
agm003192444,1.031000,4.549936,325.026855,0.422929,178.455372,0.001024
agm002727424,0.000000,0.828310,261.262543,0.072860,154.757387,0.001063
agm001148153,0.011000,0.896246,346.920807,0.252424,180.928009,0.005133
agm002158095,0.496000,1.850964,319.999969,0.381685,153.664678,0.000001
agm003163143,0.256000,1.211217,443.941437,0.329499,226.016026,0.026511
agm002254580,0.000000,0.973494,694.323975,0.129451,453.233953,0.001612
agm001228993,6.970000,5.914266,416.772369,0.703294,190.640997,0.007340
agm003184358,0.000000,1.951671,301.019440,0.134229,180.331409,0.003875
agm002322087,0.000000,1.145266,392.253113,0.107172,231.963537,0.003213
agm002163822,0.005000,2.763915,753.724548,0.227554,489.446846,0.000336
agm003435781,0.022000,2.595340,544.332336,0.257946,268.623446,0.004615
agm002190808,12.065000,14.899496,342.386383,1.030444,154.064753,0.001079
agm003562794,0.843000,2.278115,632.489075,0.351724,451.820881,0.010974
agm001234065,0.004000,2.970161,385.737701,0.235742,192.351087,0.000600
agm003616495,0.155000,3.583090,513.430298,0.303434,284.760383,0.000987
agm003436318,2.150000,3.592209,524.958252,0.440920,301.897079,0.000975
agm002188577,0.949000,3.238058,449.148407,0.401674,217.414641,0.001189
agm003180557,0.053000,3.969794,300.764191,0.286265,176.439203,0.010658
agm001197910,0.027000,2.466305,455.341156,0.259229,302.686724,0.001071
agm001388406,0.241000,2.593519,384.195831,0.351191,130.182597,0.001446
agm001141996,3.191000,3.939283,347.876068,0.554207,175.100977,0.001521
agm003186227,0.063000,2.834108,516.455444,0.281156,258.002238,0.001176
agm001121166,0.291000,1.167088,376.245575,0.348395,166.973454,0.002082
agm001115812,0.167000,2.272963,339.475006,0.319598,190.561335,0.001185
agm002213813,0.270000,3.732504,388.467133,0.335899,205.010932,0.012363
agm002242498,0.500000,4.676334,529.669556,0.349948,277.915903,0.001089
agm003562475,0.152000,2.074390,519.987915,0.290161,439.063180,0.055643
agm001642082,0.000000,0.935751,400.965454,0.105399,250.928763,0.000817
agm003187097,6.372000,0.985944,694.977417,0.528342,414.211663,0.013338
agm002348031,0.000000,1.035417,452.333221,0.178512,250.267211,0.001601
agm002134010,0.000000,1.468373,528.793457,0.207587,275.892409,0.004905
agm003273884,0.001000,1.480519,446.253418,0.215721,257.942124,0.001374
agm003178115,2.713000,2.960474,322.981232,0.597569,116.260638,0.001819
agm003192883,0.001000,0.610656,389.779572,0.214502,267.723920,0.671370
agm001203248,0.020000,1.527530,327.942200,0.262656,184.358277,0.001848
agm002342375,0.000000,1.370800,377.518463,0.155959,209.575461,0.017116
agm002194984,2.206000,0.900204,526.730469,0.451022,277.500685,0.001141
agm001367404,0.004000,1.228736,335.740387,0.235234,215.880641,0.111946
agm003298297,8.013000,5.288407,206.272873,1.063405,96.988111,0.004570
agm003165825,4.477000,6.050734,303.094604,0.609517,181.544610,0.001464
agm002496103,0.000000,0.886503,505.220367,0.137782,878.407341,0.009628
agm001243602,3.228000,3.532550,422.592926,0.512914,235.099866,0.001510
agm001638620,6.084000,3.383450,407.421936,0.674841,184.257680,0.002252
agm001115652,1.186000,3.465634,395.653961,0.428446,191.672157,0.002002
agm001003784,0.038000,5.944681,435.687317,0.268341,268.088886,0.005097
agm001311018,0.000000,0.920938,415.806976,0.172611,257.489999,0.013661
agm002241057,2.145000,1.897850,397.370514,0.455819,256.874719,0.013323
agm003186648,0.004000,1.581523,454.099579,0.232309,262.923547,0.000787
agm001223044,0.488000,2.284655,337.747345,0.386258,140.703305,0.005517
agm005103895,2.233000,3.909124,543.524902,0.477243,217.402557,0.002387
agm001625920,0.016000,2.772803,523.501526,0.253056,252.549566,0.018661
agm001230046,0.097000,1.933919,462.455872,0.287836,304.776655,0.001475
agm003163998,0.000000,0.873352,324.706207,0.178058,244.909338,0.001708
agm002186703,0.010000,0.617780,313.874451,0.249637,194.413314,0.027149
agm003636450,4.218000,7.605295,397.663177,0.584913,193.850056,0.002809
agm002695138,0.033000,1.672882,267.484528,0.284213,118.046864,0.006611
agm002245548,0.289000,6.107902,477.355011,0.328043,265.121298,0.004734
agm001121197,0.019000,1.598232,353.534454,0.260104,207.850600,0.003723
agm002168141,0.598000,1.096351,332.484863,0.383283,180.621895,0.028593
agm003169165,0.101000,1.850580,400.007843,0.299278,211.558524,0.001476
agm003436027,0.319000,3.367099,449.764191,0.332474,261.935371,0.001405
agm003184437,7.163000,2.622369,517.545959,0.679008,215.010497,0.001468
agm001344365,0.033000,1.762207,336.480377,0.274873,175.253285,0.052157
agm003771467,1.839000,6.778702,432.002594,0.444394,248.371594,0.001833
agm003192975,0.610000,4.527864,466.400665,0.372190,222.149703,0.004400
agm001294509,0.000000,0.034413,376.114136,0.089030,276.017305,0.006233
agm001044784,0.000000,1.052818,565.021118,0.165368,360.281174,0.003298
agm002191511,2.794000,4.257347,341.558685,0.501617,222.064430,0.001504
agm001197600,0.000000,2.079715,546.692688,0.096516,272.598175,0.011476
agm002358232,0.153000,2.387767,374.133453,0.312717,212.489078,0.008766
agm001229371,0.035000,3.277329,322.020477,0.273654,193.260526,0.004559
agm001633494,0.108000,0.814170,378.126740,0.303635,197.261985,0.003719
agm003187057,0.000000,0.788464,435.210175,0.170929,284.470430,0.002136
agm003186590,0.000000,2.192636,323.617218,0.187284,183.908142,0.000572
agm001656078,1.298000,1.355458,389.624786,0.417449,239.967774,0.004241
agm001229262,0.395000,3.004185,454.590668,0.337328,289.853839,0.008213
agm003139438,0.368000,2.776514,350.612732,0.343553,234.399014,0.003932
agm002224543,0.011000,1.928962,581.334778,0.245259,287.079729,2.894012
agm002158035,1.957000,0.918159,429.550079,0.506820,148.851142,0.016640
agm002378231,0.271000,3.835101,512.519531,0.324374,272.826167,0.023888
agm001850129,3.608000,1.317313,418.639526,0.523664,243.332561,0.014820
agm003603459,0.303000,1.412618,487.701996,0.321157,331.715715,0.766246
agm001289588,0.000000,1.223148,430.758942,0.173078,264.100676,0.006894
agm002367592,0.000000,1.644277,495.057495,0.134800,283.247471,0.006058
agm002140173,0.034000,6.153382,551.567383,0.262777,312.541455,0.000728
agm003157176,1.912000,0.955538,469.260345,0.438962,274.345203,0.002590
agm002342854,0.000000,2.698180,659.425781,0.137049,322.780429,0.005685
agm003633718,0.014000,2.855386,344.747528,0.256241,184.575064,0.008997
agm001348977,0.063000,1.954474,293.581757,0.294977,152.104911,0.012319
agm002257193,0.000000,2.260423,520.025330,0.195414,420.525772,0.015061
agm001191494,0.002000,1.438650,527.948425,0.223118,246.255753,0.001578
agm003258300,0.634000,4.008232,475.820984,0.377592,210.419940,0.009660
agm002186873,0.766000,2.040677,420.730377,0.376718,258.033250,0.008791
agm003599629,0.301000,0.939144,385.436401,0.345520,183.412955,0.001842
agm002354616,0.213000,4.145089,435.728149,0.325636,207.772887,0.000603
agm001192157,10.718000,1.977144,671.299866,0.713923,281.344805,0.008547
agm001341155,0.295000,0.930399,294.434296,0.355984,144.795703,0.001915
agm001206561,1.640000,2.429272,393.061432,0.520854,112.347569,0.008137
agm002165619,0.106000,1.199392,320.408325,0.302551,199.596719,0.029783
agm003191762,0.001000,3.220208,188.424072,0.221473,187.343672,0.001107
agm003204416,0.000000,7.026281,339.272430,0.182239,207.848244,0.058086
agm003186653,0.584000,1.367757,502.561279,0.362186,254.923553,0.002848
agm002323042,8.251000,4.048192,485.243591,0.728447,206.649211,0.000785
agm003186510,0.050000,1.484277,293.378815,0.292593,131.168244,0.001165
agm001267727,0.000000,0.698885,497.615753,0.173975,251.346411,0.019654
agm002134226,0.000000,3.621668,596.185547,0.168806,316.560375,0.004074
agm001228301,10.038000,4.275263,348.902374,0.832423,188.774385,0.000734
agm001314370,0.000000,1.081147,371.224640,0.091031,224.670794,0.001997
agm003636315,0.280000,1.928810,556.069702,0.323920,285.109160,0.002287
agm003198803,5.608000,4.015065,446.647827,0.607039,230.423721,0.001171
agm002160920,0.259000,5.517933,374.575165,0.345702,157.478965,0.000787
agm003763739,9.081000,11.322763,448.241852,0.656056,298.833070,0.000430
agm002245302,1.004000,2.410839,424.627106,0.382477,307.799861,0.001973
agm002134694,0.003000,4.252602,373.954620,0.231885,198.785095,0.002343
agm001610935,0.751000,3.997126,426.696259,0.402981,168.428638,0.001065
agm002245507,0.086000,2.065074,438.663879,0.286054,290.047418,0.016786
agm001145079,1.792000,4.418301,321.628326,0.474612,179.215924,0.002407
agm003160676,0.000000,0.545544,341.170807,0.171409,189.457466,0.003461
agm003190366,1.315000,1.417781,436.644745,0.420874,233.091315,0.005041
agm001192102,3.530000,1.234275,368.629639,0.568103,178.192560,0.004210
agm002147181,0.000000,1.966777,336.989288,0.155206,195.566245,0.000911
agm003202554,4.099000,2.693508,533.832886,0.507741,309.592314,0.010057
agm003298890,1.858000,11.659704,317.546295,0.478960,178.748612,0.003984
agm003264056,15.268000,12.316743,325.610870,1.352097,133.160265,0.000722
agm001121656,1.554000,2.594225,434.725433,0.419704,280.072666,0.001211
agm001830598,0.100000,2.000133,396.945923,0.292064,269.525847,0.001189
agm001116412,0.000000,1.584251,552.733521,0.126485,322.566258,0.003052
agm002186757,0.112000,1.652980,436.378967,0.292583,294.547346,0.022389
agm001615855,0.509000,4.050083,465.734100,0.360211,230.329711,0.001297
agm002167739,0.000000,2.632629,438.578156,0.118949,187.060351,0.002797
agm001615760,0.017000,2.232089,375.119110,0.263555,151.748204,0.014668
agm003762242,7.184000,5.610202,493.758148,0.701507,196.916359,0.000683
agm001313609,0.000000,1.802575,357.655609,0.205993,184.752516,0.002616
agm003161651,1.239000,2.823273,358.571442,0.446945,162.624823,0.005998
agm002249420,2.100000,3.828414,609.231323,0.451903,261.919715,0.005128
agm002428437,0.102000,2.394876,428.832794,0.295021,247.354487,0.002271
agm002259013,0.098000,1.452285,347.843567,0.295438,233.108850,0.629914
agm002153282,11.020000,0.621880,519.708374,0.692615,311.642160,0.001557
agm001181562,0.022000,3.285915,413.426422,0.263339,201.328863,0.004003
agm003192967,0.045000,2.222849,492.453491,0.273934,246.029238,0.003328
agm003163035,0.000000,1.751485,903.755981,0.133627,530.492547,0.026773
agm001087091,3.774000,3.858714,477.547028,0.533860,236.904326,0.016779
agm002161146,0.163000,4.460123,413.964691,0.323828,166.775269,0.003904
agm003300461,10.647000,10.899857,527.796753,0.780321,229.647289,0.002251
agm001389175,0.000000,0.742924,372.829437,0.105884,219.473695,0.003812
agm005120799,0.000000,0.813496,421.788055,0.144654,261.214467,0.576316
agm001361195,3.588000,4.737578,314.485748,0.571126,177.939016,0.000004
agm002696434,0.028000,1.715973,317.286224,0.272321,166.425085,0.004131
agm003269363,3.132000,6.286537,326.226898,0.552688,174.004028,0.001311
agm001289552,0.000000,3.103612,512.976440,0.159698,292.498281,0.001271
agm001615909,0.035000,2.779602,477.824493,0.262366,328.979483,0.003617
agm003762246,3.822000,7.059011,567.125244,0.511073,281.881599,0.002495
agm002184972,0.000000,2.008100,382.947540,0.176244,238.668354,0.005075
agm002134230,0.000000,1.672073,508.075378,0.202806,289.246654,0.010331
agm002184932,0.208000,3.401517,307.535919,0.328178,190.439725,0.001424
agm001361105,0.000000,-0.028840,268.483002,0.021587,215.610492,0.306824
agm003204389,0.615000,2.893754,730.577881,0.339097,432.524753,0.018231
agm001115735,0.005000,1.364801,407.511383,0.234408,261.463725,0.009003
agm003180562,1.631000,3.337194,280.083710,0.464688,179.041002,0.009329
agm001340181,0.117000,2.577008,304.448730,0.316144,146.912382,0.007902
agm001612194,0.034000,0.786001,286.826111,0.259770,367.625016,0.016802
agm003169448,2.246000,2.976222,375.033875,0.487420,200.736245,0.000762
agm001228839,5.166000,4.792704,422.719421,0.625564,193.809881,0.006923
agm003290785,0.019000,5.119877,465.604950,0.251274,325.013741,0.003783
agm003093842,4.689000,2.620366,857.268616,0.511814,344.118188,0.001094
agm002925295,0.017000,1.065415,415.169037,0.258275,196.306728,0.000516
agm001293411,0.000000,-0.058261,377.136108,0.034852,278.710026,0.002696
agm003299648,15.992000,12.876678,469.048676,1.102002,185.661011,0.001535
agm002367072,0.143000,2.296145,270.591583,0.311944,202.354382,0.009899
agm001210927,0.000000,1.071592,308.169434,0.188013,199.928895,0.007061
agm001228513,0.193000,4.779375,372.199493,0.320170,217.299748,0.004399
agm003562471,0.658000,1.880436,484.270844,0.351261,355.557454,0.002516
agm003771455,0.330000,3.775602,289.983459,0.355822,162.934262,0.003458
agm001225139,4.514000,4.528862,466.209564,0.564742,232.847990,0.001583
agm003298932,1.818000,8.027500,374.601776,0.466973,195.259095,0.000264
agm002177959,0.029000,2.562070,432.126373,0.263893,254.088714,0.002847
agm002144401,0.296000,2.308918,310.086090,0.343471,188.969545,0.004920
agm003157148,13.846000,2.190948,198.504852,1.026731,179.266039,0.008077
agm002697932,0.000000,2.021045,325.187500,0.165077,173.551075,0.003530
agm003160496,0.061000,1.913990,303.498016,0.279741,263.835532,0.018002
agm001150748,8.003000,4.401279,397.867035,0.819093,154.739272,0.001604
agm004930402,0.940000,1.254155,461.843323,0.352248,497.465613,0.007076
agm001144882,0.007000,2.086289,335.173828,0.244342,181.147364,0.000826
agm002317722,0.026000,1.259919,245.139496,0.268953,180.743571,0.934134
agm003160441,0.000000,0.025354,306.929291,0.129037,207.546063,0.008801
agm003273187,3.387000,7.732819,302.659943,0.553467,187.237890,0.002278
agm003294733,1.445000,5.952942,459.221313,0.418100,265.510409,0.002615
agm002081253,0.009000,4.858880,472.775360,0.244181,246.480230,0.023528
agm001115462,3.615000,2.981848,307.474945,0.575639,174.931189,0.003056
agm001308900,0.000000,0.844366,405.040253,0.074874,248.993515,0.009909
agm002363641,0.422000,2.704035,522.474121,0.339029,297.102385,0.001003
agm003468466,8.714000,0.461734,267.530426,0.918929,134.493748,0.002660
agm003191181,0.002000,1.795135,563.244385,0.224269,298.230181,0.002941
agm001367236,0.003000,1.371440,320.720978,0.233320,185.813519,0.007734
agm002287144,0.000000,10.210571,271.978302,0.194349,179.866885,0.000699
agm001311646,0.001000,1.980450,393.500885,0.221282,233.407689,0.004172
agm005117774,0.003000,1.982583,419.725281,0.224316,385.645422,0.000637
agm002028306,5.566000,22.136944,470.935455,0.604248,231.344420,0.000198
agm001130149,0.081000,2.904174,349.061218,0.291259,224.984961,0.002015
agm003290429,0.186000,5.379831,535.765991,0.304459,329.730110,0.001869
agm002215647,1.278000,3.118295,690.474182,0.370165,481.350155,0.001668
agm001179868,17.328000,9.974408,452.015747,0.999997,234.621740,0.002252
agm001267734,0.202000,1.222945,467.950409,0.317965,241.283025,0.001576
agm001100247,0.041000,3.080008,463.542328,0.265804,327.066633,0.008476
agm003161412,4.409000,0.591397,341.301361,0.610751,176.746464,0.007415
agm002219548,0.004000,2.220587,469.574829,0.227723,325.609928,0.002685
agm003287978,0.000000,4.001031,433.170197,0.199982,173.655411,0.001211
agm003638719,3.819000,11.940792,437.906006,0.533608,239.931251,0.000953
agm002194156,6.837000,2.921827,255.045792,0.758310,157.085150,0.002592
agm002752006,0.000000,1.342466,397.268433,0.094064,193.052215,0.002079
agm001304759,0.015000,1.068849,548.684692,0.250567,264.729315,0.002372
agm003435937,6.398000,6.150378,402.755524,0.658062,208.284399,0.001011
agm002146024,0.000000,0.826971,299.790741,0.209065,182.725193,0.002349
agm001115718,1.763000,3.397624,452.109650,0.445896,234.290190,0.002950
agm002354564,0.729000,3.316279,346.497467,0.411503,145.904103,0.004558
agm001314840,0.900000,2.368085,508.869965,0.385642,262.247092,0.003394
agm003188135,0.114000,3.580965,483.607269,0.291510,312.875761,0.005928
agm003159681,0.128000,1.547709,293.255157,0.310967,185.895132,0.003619
agm003201843,0.000000,0.975441,705.624023,0.169307,468.776171,0.035851
agm001319516,0.121000,2.953358,354.796204,0.307452,196.671818,0.008322
agm002146088,0.006000,1.224964,324.894409,0.241269,191.089113,0.003149
agm001291361,0.000000,1.368677,426.055023,0.195847,288.932342,0.007040
agm002746060,11.356000,2.955368,381.919159,0.877814,193.234141,0.000000
agm002176158,0.004000,3.840024,319.230957,0.234471,198.718493,0.044199
agm002342736,0.021000,3.707212,509.932251,0.253545,319.242202,0.007994
agm001228282,0.145000,1.700847,382.257446,0.305790,246.321875,0.002508
agm002184813,0.124000,2.729824,358.592529,0.305277,214.898767,0.001264
agm001211343,0.176000,3.245506,359.074921,0.322677,184.833188,0.048089
agm002140583,0.043000,3.952503,746.842957,0.264479,370.502366,0.001274
agm001259716,0.058000,1.586417,650.413086,0.275408,298.093007,0.008950
agm002156726,1.496000,2.117326,316.531036,0.477371,145.539480,0.022556
agm002136931,0.071000,2.573020,656.123901,0.274230,383.864779,0.000888
agm002346300,1.463000,1.616981,820.384277,0.376650,493.201103,0.004488
agm002191163,0.007000,1.797361,331.380127,0.242364,218.822284,0.004837
agm003174878,0.000000,1.576485,394.526337,0.201285,229.455215,0.006494
agm002377709,0.000000,1.288208,348.696075,0.087657,180.794885,0.032442
agm002186346,0.974000,4.070166,456.756683,0.404684,213.574296,0.000356
agm002102656,0.000000,1.432838,472.647430,0.099755,334.222688,0.007538
agm002218975,0.005000,1.781902,332.578217,0.238424,180.096838,0.007757
agm002632973,0.120000,2.611762,337.594604,0.314740,156.260809,0.008732
agm002138428,1.245000,2.762175,565.372253,0.410118,253.534247,0.002322
agm001216836,0.423000,1.837027,406.527191,0.347419,248.240614,0.002363
agm001173960,0.008000,2.121804,344.568390,0.244636,200.974413,0.005912
agm003774423,0.526000,8.855048,439.922577,0.358189,248.057733,0.006424
agm001190623,0.068000,1.825442,279.979858,0.291392,185.942833,0.002572
agm002924846,0.000000,2.236746,564.690918,0.195372,348.179296,0.014874
agm002696417,0.000000,0.364317,426.511780,0.104217,255.999498,0.001352
agm002185940,0.000000,2.282332,528.537903,0.191932,313.037678,0.000942
agm003188084,0.005000,2.727657,513.206787,0.234014,295.519291,0.001081
agm002327485,2.861000,6.426514,413.802460,0.525272,190.178264,0.011877
agm002146441,0.474000,0.990664,299.739319,0.370787,176.831668,0.012641
agm001850167,0.278000,1.471385,364.958405,0.332729,227.275552,0.002762
agm001618912,0.002000,2.430933,405.646149,0.222227,233.122238,0.004717
agm005124941,0.068000,2.369669,348.909271,0.297608,150.405087,0.014481
agm003192719,3.862000,2.081590,428.403687,0.604954,159.790987,0.000617
agm003298008,1.565000,8.559075,318.655487,0.456782,185.745725,0.002550
agm003160658,0.000000,1.217613,327.383453,0.188229,230.619441,0.067677
agm003157980,0.137000,0.923359,652.017090,0.295688,323.322407,0.005535
agm001197799,0.574000,3.612510,499.907257,0.363843,242.820037,0.001251
agm002190752,9.117000,6.932331,420.119965,0.861550,159.025987,0.004574
agm002925803,2.181000,2.564790,382.510590,0.518943,151.463613,0.002282
agm002146685,0.000000,1.266358,310.678009,0.159080,164.278766,0.000925
agm002238418,6.106000,7.555384,210.003708,0.865647,105.360753,0.002119
agm002219464,1.130000,2.193681,317.146667,0.463070,125.664190,0.029158
agm002925383,0.079000,1.935419,381.479095,0.289658,232.919886,0.003906
agm003260596,0.000000,3.340727,585.003906,0.147661,311.912860,0.002197
agm003187727,0.000000,1.089765,693.299561,0.099136,374.636543,0.003933
agm002286713,0.013000,1.831999,316.497955,0.253141,206.014276,0.005626
agm002923664,0.176000,1.633981,438.934540,0.317809,211.281625,0.000817
agm002472386,0.307000,1.374604,304.290680,0.329422,271.516899,0.021543
agm002183433,0.140000,2.437616,491.915741,0.298897,297.332748,0.001208
agm001198665,1.362000,3.696183,565.857910,0.434560,204.757856,0.010087
agm003203678,6.200000,4.932096,446.213837,0.573275,304.656203,0.001115
agm003741464,0.789000,1.372542,364.132996,0.404320,173.725135,0.002685
agm002634490,0.000000,1.297154,644.350952,0.119335,361.529010,0.003117
agm003199254,0.213000,3.110230,446.017395,0.325172,209.867555,0.011478
agm005117058,0.001000,1.728768,582.285034,0.212991,380.233023,0.001451
agm003264925,0.383000,5.091109,444.935822,0.338757,271.462381,0.007019
agm001121603,0.000000,2.446458,342.361237,0.190211,212.927166,0.002960
agm002354314,0.000000,1.265598,373.389313,0.185361,179.132274,0.023880
agm001828973,1.185000,3.193665,327.486877,0.415146,226.292854,0.004853
agm003161676,0.001000,1.883599,312.156769,0.216025,195.151396,0.010464
agm003436860,0.115000,1.175733,327.108582,0.312201,161.382125,0.013754
agm003202085,2.087000,11.251900,343.379791,0.482915,193.966842,0.000094
agm001615739,4.098000,3.979528,487.277924,0.596438,176.607587,0.002893
agm003416671,5.270000,7.438097,387.324768,0.598631,225.264320,0.000599
agm001044934,0.166000,4.532558,382.271149,0.300530,333.222873,0.000157
agm001610854,0.002000,2.398975,629.975769,0.220972,270.501632,0.003757
agm001120949,0.535000,4.469644,388.014923,0.379905,171.057550,0.002701
agm003168913,0.000000,1.446040,331.539551,0.205370,187.778780,0.015742
agm001196168,0.363000,0.645573,407.529236,0.373399,129.091457,0.009033
agm003635153,4.267000,1.486259,446.204346,0.812414,83.556007,0.023183
agm001100025,1.461000,3.321808,456.002045,0.413970,283.168182,0.002703
agm002182383,1.821000,8.273364,288.597076,0.462217,204.539557,0.014992
agm002134103,0.000000,3.318506,647.923706,0.157719,354.056369,0.006335
agm002177960,0.003000,3.012901,575.440308,0.223328,341.385449,0.008023
agm002342418,0.060000,1.627411,359.897034,0.291681,164.072428,0.022382
