threshold_eV_per_atom,count_within,fraction
0.005,2311,0.047391518333196624
0.01,4594,0.09420884258879501
0.02,8963,0.1838036256254614
0.05,20377,0.4178697399721106
0.1,30659,0.6287220080387171
0.2,38195,0.7832622426380117
0.3,43396,0.8899187925518826
0.5,48079,0.9859527520301862
1.0,48755,0.9998154376179148
