subset,N,MAE,RMSE,ME,med_abs_err,p90_abs_err,p95_abs_err,p99_abs_err,pearson_r,pred_mean,pred_median,ref_mean,ref_median
all,9540,0.3307879255373612,0.4757249203914729,-0.26636421648255043,0.22381882815226364,0.7784661119573976,1.0467915477107228,1.5319302599405848,0.9375740677794898,-0.665218707580955,-0.44798901677131653,-0.39885449109840465,-0.20355707
metal,3177,0.39583110310628955,0.5388994411312602,-0.36500959158198476,0.2807472154306793,0.9160750719790651,,,,,,,
non-metal,6363,0.29831233617126257,0.4408064510198925,-0.21711129228155987,0.19527360734024046,0.6912538072441559,,,,,,,
bg:metal (=0),3177,0.39583110310628955,0.5388994411312602,-0.36500959158198476,0.2807472154306793,,,,,,,,
"bg:small (0,0.5]",2132,0.4288670522882302,0.575196507995849,-0.40547572467291704,0.3282561910350799,,,,,,,,
"bg:med  (0.5,1.5]",1653,0.32358029009244543,0.46907466695852423,-0.28790985875985897,0.22852143150501253,,,,,,,,
"bg:wide (1.5,3.5]",1664,0.17412949660151666,0.2537787124481554,-0.08964974035292483,0.12144806534576413,,,,,,,,
bg:ultra (>3.5),914,0.17416535854650037,0.25651951885426033,0.11825739244245877,0.10166745748596195,,,,,,,,
card:2 elem,9540,0.3307879255373612,0.4757249203914729,-0.26636421648255043,0.22381882815226364,,,,,,,,
