element,count,MAE,med_abs_err
Tb,173,0.5976311046829327,0.4604380431762696
N,1101,0.5789475021257207,0.4875735542538452
Sm,177,0.5692915179227547,0.4301386454544067
Y,162,0.5692835186043338,0.46479456102142336
P,1087,0.5670430943533414,0.4574225281240082
As,846,0.5666935002872772,0.46408762621269223
Nd,173,0.564797670778142,0.45902148153564454
La,142,0.5233259592849664,0.42933022946937566
Gd,157,0.4969386509567283,0.40107241869133
Sc,169,0.4856353357166667,0.32766961672271727
Ti,243,0.4699016490253197,0.32922593375473025
Eu,153,0.45194628356221744,0.35130186101074223
Nb,333,0.41816659186384925,0.2782413911018371
Co,278,0.41346578532910916,0.27194018652816776
Sr,174,0.38534386569979495,0.31580424046325695
Ni,283,0.37996561726576955,0.2561110251372528
Ru,196,0.37924995434402503,0.2571081639703102
Mo,136,0.36440841914980326,0.27259694955876923
Rh,149,0.3502352827760965,0.25650948395645146
Cr,493,0.349904408210084,0.2353858656799317
V,467,0.3478160704494317,0.21337415622558598
Cs,77,0.3395470403990146,0.2765981234207916
B,156,0.33764750028445223,0.24606712062187192
Mn,404,0.33045920784987104,0.21785694253526688
Fe,363,0.32443798166126087,0.21091291512489319
Ba,170,0.3212761589312563,0.2841334301712035
Zr,73,0.31669075651678846,0.2159122363922119
Al,191,0.3118680861309506,0.2659754717469025
Ce,71,0.3058862867781668,0.19795009452819823
Pd,320,0.30132638300184755,0.23599053105316165
Ca,189,0.28850966582206355,0.22217659132690404
Ga,159,0.27960880921797593,0.225152108460083
Ag,357,0.27768024846530975,0.20399594569953922
Sb,119,0.27551835982914624,0.15913485639953606
Te,983,0.2699500694168905,0.1819389355066681
S,1119,0.2665047269137106,0.18923300189559933
Se,978,0.2566769134787647,0.16470388341651918
Rb,143,0.2537755522752604,0.1521309707244871
Cu,381,0.24897110600141623,0.13841259305007936
O,1071,0.23311669333198506,0.17111003173522954
Na,176,0.222591550292905,0.16851623595561985
In,636,0.2159003131818729,0.1621707907521248
Li,188,0.21390660491749072,0.14235457217453007
Mg,197,0.21278747976179346,0.14637238439941413
Be,205,0.20994771976475488,0.12382766163124082
K,163,0.20540234438539737,0.14847669535980224
Si,69,0.19824606407477732,0.1478953546905517
Br,163,0.18586495333309355,0.1187664259838867
Cd,197,0.1737078557706889,0.12788743202545166
Ge,61,0.17286326150399434,0.11918813027343744
I,719,0.16096078511239484,0.10707598995052338
Zn,192,0.15860843597866212,0.11308687562483978
F,735,0.14753996777292216,0.09292101976013178
Cl,731,0.1392829637208386,0.09350877642440797
Sn,198,0.13863997230231176,0.0631983566983795
