threshold_eV_per_atom,count_within,fraction
0.005,186,0.01949685534591195
0.01,347,0.03637316561844864
0.02,662,0.06939203354297693
0.05,1529,0.16027253668763103
0.1,2692,0.28218029350104823
0.2,4474,0.4689727463312369
0.3,5740,0.6016771488469602
0.5,7422,0.7779874213836478
1.0,9002,0.9436058700209644
